scenario_id,algorithm,run_id,group_name,scenario_type,n,uav_count,HV,IGD+,runtime_sec,n_solutions,feasible_rate,C,A,G,AS,total_sorties,used_uavs,uav_load_std,uav_load_range,min_C,min_A,min_G,max_AS,mutation_cfm_attempts,mutation_cfm_accepts,mutation_bbr_attempts,mutation_bbr_accepts,mutation_bbr_overload_triggers,mutation_bbr_imbalance_triggers,ls_calls,ls_structure_moves,ls_time_moves,ls_boundary_balance_moves
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,1,main_30_3,multi_hotspot_boundary,30,3,0.5133870572180952,0.03979053769466775,23.12007225002162,119,1.0,676.1942194227403,513510.5224156736,36.25334903954038,0.29864636308168746,3.0,3.0,0.0,0.0,525.476490109755,249228.02383423358,28.387026207350065,0.4515938387885855,3540.0,3211.0,5343.0,1483.0,173.0,1520.0,600.0,4529.0,2034.0,2.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,2,main_30_3,multi_hotspot_boundary,30,3,0.5286248599301864,0.03528589070247844,22.52449412480928,120,1.0,611.2233650378038,567058.423024255,37.706377267808556,0.28143364671424137,3.0,3.0,0.0,0.0,514.1499162032711,254827.00229908506,26.705115631926684,0.49282873438971103,3500.0,3041.0,5284.0,1247.0,139.0,1296.0,600.0,4631.0,2216.0,0.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,3,main_30_3,multi_hotspot_boundary,30,3,0.5260888543915418,0.03655630570365774,21.951842583017424,119,1.0,630.8080003508815,632568.4020129812,33.22034582546105,0.40049044628730646,3.0,3.0,0.0,0.0,515.6977156264893,274456.6503624475,27.453901322379153,0.4331808193496181,3571.0,3132.0,5258.0,1251.0,150.0,1285.0,600.0,4648.0,2088.0,0.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,4,main_30_3,multi_hotspot_boundary,30,3,0.5275450570796169,0.03711558927441744,21.145485209068283,120,1.0,626.5944950987993,679450.5746178008,31.58381463266273,0.41251134615114626,3.0,3.0,0.0,0.0,517.7983535112885,253380.247010588,27.48823522664222,0.4727879178793891,3574.0,3102.0,5321.0,868.0,67.0,897.0,600.0,4643.0,2183.0,2.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,5,main_30_3,multi_hotspot_boundary,30,3,0.5472226588902452,0.03251665502404696,22.230877582915127,119,1.0,596.0333785705253,610185.8576638562,35.884994662807024,0.2849830706894236,3.0,3.0,0.0,0.0,522.2182095500424,221620.39472891195,24.852972419315698,0.4878697749659843,3627.0,3260.0,5317.0,1200.0,148.0,1229.0,600.0,4719.0,2062.0,0.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,6,main_30_3,multi_hotspot_boundary,30,3,0.5240478029877257,0.034756200730876784,21.880223749903962,119,1.0,601.1663508608976,672301.1393888632,32.107032420283204,0.3877599851602438,3.0,3.0,0.0,0.0,510.24463073695586,245591.65615775643,27.50904765915356,0.46395996706656184,3571.0,2924.0,5312.0,1161.0,150.0,1191.0,600.0,4355.0,2049.0,0.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,7,main_30_3,multi_hotspot_boundary,30,3,0.5336281367131273,0.03512360623861721,21.410102875204757,118,1.0,605.389205502737,603562.4951998458,35.66256388417956,0.29517603212772475,3.0,3.0,0.0,0.0,513.5755375761694,249648.94869149232,25.288505683975032,0.47972236795871276,3520.0,3096.0,5316.0,963.0,62.0,983.0,600.0,4554.0,2280.0,1.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,8,main_30_3,multi_hotspot_boundary,30,3,0.5399796413328988,0.028391623828905865,21.158433833159506,119,1.0,642.2719685290135,559517.3433939277,36.267635939036055,0.3398787695613962,3.0,3.0,0.0,0.0,515.9653282632289,230417.38906794938,27.559555070876097,0.46149805439011593,3723.0,3086.0,5319.0,922.0,103.0,956.0,600.0,4680.0,2169.0,2.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,9,main_30_3,multi_hotspot_boundary,30,3,0.5467658320450948,0.03151457026973868,20.730002749944106,119,1.0,602.618574711275,616379.5885712333,36.480124703160854,0.36239510388130847,3.0,3.0,0.0,0.0,514.1499162032711,272291.59126991243,26.852037726310126,0.47330440501031457,3524.0,2900.0,5423.0,575.0,39.0,597.0,600.0,4407.0,2102.0,3.0
main_30_3_multi_hotspot_boundary_id01,msd_ag_nsga2,10,main_30_3,multi_hotspot_boundary,30,3,0.5423697060071468,0.030401033856448753,22.0434161669109,118,1.0,597.9089350222607,605953.0697164717,35.91932426301227,0.2866173528333011,3.0,3.0,0.0,0.0,516.4344479854336,240880.37131346282,26.55859132133316,0.4640765910511214,3571.0,3164.0,5438.0,1469.0,158.0,1505.0,600.0,4727.0,2200.0,0.0
