algorithm,scenario_id,group_name,scenario_type,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id01,mechanism_50_4,multi_hotspot_boundary,883476.6418334473,41558.78123582963,879394.9872808142,0.20108622304404702,0.02922935437953132,0.19910810252223393,813.5623526037456,18.465959686900604,814.0199705214371,68.03752331450463,2.878822611519669,67.20985177781543,0.5009891442943233,0.03741394444742944,0.4832829749637053,0.06509754492056519,0.015350707526103135,0.0654210690642548,1.0,0.0,1.0,5.7,8.149233092751734,2.5,868.0,0.0,868.0,6574.0,174.41788899077983,6676.0,2894.3,123.32319327685282,2939.5,0.27643019409997127,0.018898532374042838,0.2762492423051465,438338.3469525349,19194.56701352375,440995.36150096694,690.0141028697226,41.01205565454363,710.0181790305575,58.5339672312365,1.4235887082244592,58.72746424499066,5515.3,198.9995226124927,5501.0,7809.0,80.12115825423395,7801.0,2237.8,262.3698915653242,2283.0,6087.9,177.0979672384751,6083.5,4892.2,76.41832241027016,4928.5,5221.5,61.379556857312025,5225.5,139.4,0.4898979485566356,139.0,112.61994121233002,5.267771115893251,111.41161454108078,4.0,0.0,4.0,4.841160771,9.45083869941912,0.0,2.0962841057453296,4.092333200383021,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id02,mechanism_50_4,multi_hotspot_boundary,860647.4738366483,52301.49792671242,863612.6279836852,0.21929216321948714,0.02525747218689331,0.2150229909019003,901.0673704111771,24.100499723302033,891.7575326881606,67.2683578488774,3.3632173234361895,68.30416015142183,0.5428257650699875,0.03196810889220262,0.5548599642001805,0.048887238755101294,0.019091246506395383,0.04377071846276002,1.0,0.0,1.0,2.8,4.190465367951393,1.0,867.3,1.1,868.0,6578.6,265.3662374907554,6635.5,3113.7,102.76872092227285,3099.5,0.27692408394678114,0.015473604616164132,0.2732748356765686,443064.42156390025,18225.231159697385,440446.6108918447,802.9057075824397,13.73686168231114,797.1324209926329,59.26223118727162,1.9747072322668664,59.099680648293514,4914.0,528.5884977938888,5001.5,7892.1,89.75015320321185,7887.0,2345.3,784.5972278819241,2389.0,5754.2,705.2351097329174,5828.0,5030.0,86.24963768039841,5040.0,5232.2,63.31476920908738,5220.5,138.6,0.8,139.0,108.26509361669886,16.166857883310566,108.49411377054639,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id03,mechanism_50_4,multi_hotspot_boundary,649776.4650637375,68648.36097226472,657419.7310227256,0.3716040859277158,0.058345990006276056,0.38166827613574894,880.2470237159803,45.1228139902261,892.8666717347941,57.95525720327208,4.523182808249983,57.22227319987175,0.5096445911109718,0.039301778749512004,0.5065381545026759,0.07276869268697157,0.019971350767128117,0.07481159080289353,1.0,0.0,1.0,2.1,3.753664875824692,0.0,868.0,0.0,868.0,6726.2,152.35340495046376,6799.5,3287.6,47.489367230991824,3262.5,0.44262207397792075,0.05065574897897701,0.43178904827866404,423929.94009421207,12820.921753421524,425264.2930329826,745.6023452100851,27.47948279063361,752.4002169540265,48.39640482559202,3.1910217773389338,48.31351074045984,5474.5,210.89250816470462,5539.5,7804.8,73.53747344041676,7777.5,2984.2,558.7897278941338,3070.0,6067.5,230.39715710051632,6009.5,5015.8,49.6,5012.0,5206.4,43.653636732808415,5210.0,138.1,1.7,138.5,111.87492695832626,6.904901901281091,112.20037825009786,3.9,0.3,4.0,27.314011571,18.687441243312662,27.59222247999999,11.827313949874053,8.091899424218909,11.947782807276027,3.9,0.3,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id04,mechanism_50_4,multi_hotspot_boundary,667791.728520804,90197.77563347698,683197.6219150615,0.25669067620961883,0.03579661260665869,0.25832916789937443,850.3950098679128,48.80750110836687,863.2368371516029,62.0647222888371,4.410248068711957,60.85737900263488,0.548433146280318,0.052493368013288584,0.5376393156394698,0.06623506239883017,0.02492603956722649,0.07202746426084113,1.0,0.0,1.0,6.0,5.458937625582473,6.0,868.0,0.0,868.0,6411.2,137.47494317147397,6429.0,2951.7,139.43389114558914,3001.0,0.331231142868592,0.025458582300355567,0.3266409430015533,430149.6371868003,15324.70181419316,431035.5740600416,726.7105315215341,40.32898727459773,754.3836928507712,49.12597558154528,2.819149231476206,50.5735532501304,5472.7,203.8607613053576,5501.0,7823.1,68.40972153137301,7822.5,3232.0,436.31135671673735,3208.5,6060.0,336.75510389599145,6245.5,5088.7,59.46435907331382,5105.0,5241.8,59.68550912910101,5271.5,137.3,4.050925820105818,139.0,109.79056779169477,11.79209578532384,114.98182443750557,3.8,0.39999999999999997,4.0,42.635066396,27.548291317494158,46.16390181,18.461525295486126,11.92876005590211,19.989555852635213,3.8,0.39999999999999997,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id05,mechanism_50_4,multi_hotspot_boundary,646869.9598614487,50325.8467533806,659260.3210588186,0.2115453433421973,0.022084761349005767,0.20676089939733694,862.9381548422714,33.11440749561885,877.5885234611331,65.65205370966461,3.572107621313306,64.48333625377083,0.5221613825741567,0.047607028145529466,0.5295514973830078,0.07268663890430441,0.031090308578916218,0.057950369934037495,1.0,0.0,1.0,2.4,3.5832945734337835,0.0,868.0,0.0,868.0,6832.4,64.165722936783,6834.5,2953.3,103.33832783628733,2953.0,0.2629359898787424,0.019018771352445615,0.26493259089142607,426666.54653776047,13348.40145987016,423789.8259400584,765.1538759784783,36.93553140442719,775.6108865504203,56.81552377977423,1.9003876377383484,56.56116971383703,5300.1,232.45147880794391,5307.5,7838.5,84.9732310789698,7826.5,3142.4,741.366872742504,3128.0,6015.4,377.41096963389924,6118.0,5056.5,78.39547180800687,5055.5,5252.8,67.41186839125585,5251.0,137.2,1.7204650534085253,137.5,108.75667180400342,9.341945474026346,109.32398058299441,3.9,0.3,4.0,33.71529677899999,26.64927199111541,37.43432199,14.599151753372826,11.539473268333523,16.20953690839322,3.9,0.3,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id06,mechanism_50_4,multi_hotspot_boundary,771387.2910080648,51167.75656998129,763704.1442200547,0.2133324060401185,0.01585861673775307,0.20972883996238506,864.4151189303282,18.043429037711487,859.6267665033373,69.8243767797986,1.7671973338992324,69.62339220554415,0.6247644796228387,0.023090706337460735,0.6344895683522669,0.03233934105706093,0.014660607146572151,0.028521075177983635,1.0,0.0,1.0,1.0,2.6832815729997477,0.0,868.0,0.0,868.0,6733.0,188.74639069396795,6799.5,2347.0,176.93388595743892,2309.0,0.24655491571432644,0.01220427737081041,0.2475959297038496,427303.1342794914,18476.891145326354,423176.64318998344,777.8387160508042,6.458545536880875,776.6723509218947,62.71168355065225,1.3119073316987007,63.101196354898086,4578.7,609.3394866574789,4431.0,7847.7,72.66642966322208,7845.0,2169.9,561.7578570879094,2312.0,5186.9,684.3803693853295,5034.0,5026.9,63.74550964577819,5020.5,5244.0,62.97936169889307,5238.0,138.0,1.4832396974191326,138.0,102.58644613323267,11.06108296933055,101.9505169581389,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id07,mechanism_50_4,multi_hotspot_boundary,862053.0593884084,117381.65728347083,921168.8721919276,0.2808583051412599,0.0308318088693549,0.2760413591066906,891.7725277947518,20.42692858483401,889.6049941112904,61.447937795522044,4.067669722992018,61.1509501753551,0.5349718538277372,0.018344710968878488,0.5294844814967701,0.04316305664508293,0.010199872912765138,0.04325347578756246,1.0,0.0,1.0,2.2,2.9597297173897488,1.0,868.0,0.0,868.0,6626.6,211.79244556876904,6663.5,3310.5,79.07622904514352,3325.0,0.35895171366343837,0.037543782720862756,0.3571760241802471,449356.6559406823,18567.35470884995,445618.1634938992,768.4623119731334,0.6029285709741624,768.4678909780006,48.12724782799721,3.177086527190637,48.20618739798161,5313.8,260.359290212583,5308.5,7855.8,84.18289612504431,7864.0,2698.2,591.1698233164477,2773.5,6229.7,391.51655137426826,6262.5,5009.2,88.89296935078724,4996.0,5223.6,69.56752115750568,5229.5,139.4,0.8,140.0,115.45375301239547,12.452054726458007,118.94641864544246,4.0,0.0,4.0,6.329800774999998,14.176896891077417,0.0,2.740884136022213,6.138776427252837,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id08,mechanism_50_4,multi_hotspot_boundary,907887.9321876785,65436.45302093991,910018.7133515658,0.32638571764522106,0.026341357893509693,0.331399944409695,856.6356106354597,22.574443147800494,861.1627360457531,61.61287683947967,2.7808399428339756,60.650205593767815,0.5629812138775125,0.011826291650172724,0.5633713408257812,0.03906595830369452,0.009056704772622238,0.036191884227304794,1.0,0.0,1.0,2.7,4.337049688440288,0.0,868.0,0.0,868.0,6768.0,240.33518260962126,6845.0,3299.4,89.09118923889163,3320.0,0.42045064414665934,0.026514686199209558,0.4228011672175694,411718.51446180494,31988.760665076494,406015.7205832653,735.4237960650013,5.077474295540204,734.6128470459657,49.645244207264945,2.3696471368930143,50.70566531422446,5123.0,490.5435760460023,5261.0,7805.8,80.56028798359648,7778.0,2700.0,334.4239823936076,2796.0,5876.7,563.2377917008056,5964.0,4866.5,83.10625728547761,4904.0,5189.1,50.74731519991969,5202.5,139.5,0.9219544457292888,140.0,113.71501941680908,9.412998079552239,114.1814702085685,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_remote_hotspot_id01,mechanism_50_4,remote_hotspot,680813.5781997176,34872.61209999172,677593.1491523546,0.1634880515356612,0.010791854210744493,0.161917656116427,829.8215164921094,23.831876494977713,832.5997783778839,77.82559742321693,0.5395927105372238,77.90411719417865,0.7116304544444583,0.031034301020626286,0.7143989472637466,0.036699528876820514,0.015985778652521054,0.033776107475534396,1.0,0.0,1.0,14.7,9.476813810558907,11.5,868.0,0.0,868.0,6221.0,223.37367794796236,6188.0,2069.0,173.96896274910648,2092.0,0.20132215892395502,0.011205125211231933,0.20360167974153648,429593.5716218121,16659.25541937495,430008.83561240556,744.3261111937969,7.527375464924834,745.0709997169872,75.20798910881658,0.5005222845628732,75.1807639461039,5382.2,171.42741904374574,5390.5,7809.7,66.02431370336234,7840.5,3443.5,560.7563196255571,3370.5,6376.9,195.29897593177492,6390.0,4896.5,95.31762691129066,4908.5,5224.4,46.00912952882287,5218.5,137.7,2.051828452868319,138.0,118.1648454833543,13.32195611944642,122.02332110446878,4.0,0.0,4.0,3.203029892000001,3.6609142342207917,2.850579720000013,1.3869526277764639,1.5852223639556304,1.234337226516372,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_remote_hotspot_id02,mechanism_50_4,remote_hotspot,689293.7135312811,33537.80190004832,693039.266071315,0.11574998151882436,0.011735473408945558,0.11451892878792744,888.881098297963,26.267857600642337,877.2791986716038,80.47469024069396,0.82380106630343,80.46380008902715,0.7015004405613862,0.025913645674671765,0.6982196254294287,0.04322898666454085,0.01473130049043794,0.03698923776032101,1.0,0.0,1.0,16.3,8.66083136886985,15.5,868.0,0.0,868.0,5109.5,347.7005176872764,5099.0,1345.1,188.46402839799427,1344.0,0.1331071023248471,0.007473463782025545,0.13609089729839574,460761.4929667531,24004.758583865343,452756.03221960453,776.5523264463685,5.240710833539589,775.0187949631952,78.26103023662446,0.4566579650080585,78.01912033383329,5410.6,196.87772855252064,5376.0,7852.4,85.69037285483124,7855.5,3479.5,418.22894447897795,3412.0,6593.6,207.71673018801349,6651.5,4967.6,57.910620787555025,4972.0,5255.1,58.74427631693151,5264.0,137.2,1.0770329614269007,137.0,119.02864490840584,11.007472294364609,122.01117831247393,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_remote_hotspot_id03,mechanism_50_4,remote_hotspot,679816.2441807815,39173.61942106862,677336.7493210937,0.06840317438547658,0.015279563743779912,0.0727146033530874,922.9415282817911,27.499523562951182,931.440104168048,82.80250084218245,0.7934930635830767,82.5424652411097,0.6946972086172003,0.030570279260912544,0.693222476132817,0.06314078592460859,0.01908103650556579,0.06971691613499777,1.0,0.0,1.0,27.1,19.27407585333211,30.0,866.4,1.4966629547095764,867.0,5765.3,342.40328561507704,5804.0,733.7,127.17708126859965,722.0,0.09122091971326661,0.004303159188045042,0.09252079747043034,444106.22290761524,15604.382184334814,447527.31277639134,835.7872529879478,7.904556617466229,836.344064839552,80.41673988192136,0.43032069830036473,80.4734428927934,5216.2,158.73928310282872,5173.0,7836.7,101.12175829167529,7812.0,3681.8,587.4883488206383,3777.5,6617.1,224.0350195839927,6694.5,5123.8,75.50867499830731,5121.0,5263.0,79.1429087158161,5254.0,132.2,9.547774609824007,136.0,121.3713267542189,14.613587480549262,123.73653260455467,4.0,0.0,4.0,27.813175667999996,49.74296203400884,0.0,12.04345834420361,21.53933439046825,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_remote_hotspot_id04,mechanism_50_4,remote_hotspot,808269.2935374498,72241.13918016075,800677.5580397804,0.1017328330843045,0.01716237813267768,0.09910270805401902,904.059714344831,29.51324326548323,891.4300335602597,77.47243125409582,1.9338629972447614,77.69495929021427,0.6111841753161416,0.033639627048611016,0.6127486680983529,0.05273993616517007,0.02498294186603444,0.045375715478083854,1.0,0.0,1.0,9.0,15.8871016865884,2.0,864.5,2.3769728648009427,865.0,6174.3,365.19503008666476,6199.0,1823.5,233.68151403138418,1795.0,0.14454963218225253,0.011898650420676705,0.14164594084901538,456485.52827339375,13281.551192781004,458703.3602166347,824.1814055274444,16.338930074014552,830.32194471674,72.28723072655694,0.6138511222689391,72.4547185902689,5517.5,158.86550915790374,5534.5,7889.8,74.68440265544072,7866.0,3864.5,455.9445689993467,3956.0,6777.7,135.68570300514347,6756.5,5055.6,67.46139636858994,5057.0,5249.0,96.05519246766413,5246.0,137.0,2.23606797749979,137.5,124.7359971165657,14.991084818575274,129.49959727097303,4.0,0.0,4.0,9.861575362,29.584726086,0.0,4.27018739241336,12.810562177240083,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_remote_hotspot_id05,mechanism_50_4,remote_hotspot,679191.2108696438,60032.70083788639,672016.6248448361,0.022602347697438428,0.007935883193517233,0.022950001778310834,865.8438934039168,63.84701742516351,882.6668586642604,86.37368817193853,0.4311835575437694,86.30473901737533,0.5918941258275855,0.07870355853979968,0.5624975180688501,0.06603399074781621,0.027568981155099287,0.0675872333481246,1.0,0.0,1.0,8.7,7.142128534267639,7.0,868.0,0.0,868.0,6094.3,270.44557678024614,6029.0,140.0,55.072679252057455,126.0,0.034965208577635035,0.0006358062751547273,0.03507324433915254,434622.76372955245,25018.605035671408,438170.9340346554,769.6374027513887,39.233290887036105,787.4463031008324,84.97091179511679,0.03179031375773418,84.9655100070409,5560.8,128.71581099460934,5530.5,7860.6,68.38596347204593,7858.5,5232.6,272.06660949113177,5281.0,6816.6,140.94623088256031,6834.0,4972.9,56.20756176885811,4962.5,5241.3,64.41125678016228,5231.5,129.9,7.23118247591637,132.0,126.06983807906508,17.17437054354376,134.23481497948524,3.8,0.39999999999999997,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.39999999999999997,4.0,10
