scenario_id,algorithm,run_id,group_name,scenario_type,n,uav_count,HV,IGD+,runtime_sec,n_solutions,feasible_rate,C,A,G,AS,total_sorties,used_uavs,uav_load_std,uav_load_range,min_C,min_A,min_G,max_AS,mutation_cfm_attempts,mutation_cfm_accepts,mutation_bbr_attempts,mutation_bbr_accepts,mutation_bbr_overload_triggers,mutation_bbr_imbalance_triggers,ls_calls,ls_structure_moves,ls_time_moves,ls_boundary_balance_moves
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,1,mechanism_50_4,multi_hotspot_boundary,50,4,0.41735269504018513,0.10628234048268881,39.54452383401804,140,1.0,879.3950400249912,878491.8619446891,63.93206575495132,0.2777525672635208,4.0,4.0,0.0,0.0,716.7793797496138,473962.9839092431,54.64819082606429,0.3110224008881514,5181.0,4900.0,7808.0,2605.0,121.0,2630.0,868.0,6445.0,3192.0,3.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,2,mechanism_50_4,multi_hotspot_boundary,50,4,0.5312994907099517,0.050684777873578196,33.929447582922876,139,1.0,757.1025939359913,1017334.6782541234,55.82526942794311,0.32551558630860766,4.0,4.0,12.89086708220718,29.770182320000004,669.3912733288948,493880.7780110883,48.779682792557104,0.3979780419826157,5076.0,4836.0,7758.0,1147.0,58.0,1164.0,868.0,6883.0,3169.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,3,mechanism_50_4,multi_hotspot_boundary,50,4,0.4482037741293515,0.09816768989955181,37.156684583984315,138,1.0,859.1296614797106,818892.2240210521,66.1932520627567,0.29488157048254693,4.0,4.0,0.0,0.0,704.3698109041381,464833.7710218918,51.06283986391628,0.3349821173626487,5229.0,4947.0,7748.0,2225.0,146.0,2242.0,868.0,6602.0,3136.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,4,mechanism_50_4,multi_hotspot_boundary,50,4,0.4754765263997128,0.06624794949642945,36.40242387494072,139,1.0,789.9486539495199,924458.2249806407,62.94274907654456,0.26266769032225523,4.0,4.0,30.68120156047256,70.85519991999999,714.4767946251002,423064.12024979317,52.85042733366338,0.3501979055223942,5158.0,4848.0,7824.0,1847.0,107.0,1861.0,868.0,6897.0,3248.0,1.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,5,mechanism_50_4,multi_hotspot_boundary,50,4,0.49127420321156107,0.05790314824344136,34.42589904204942,136,1.0,795.2552964522476,924424.29542319,60.31373907733859,0.3090687265120854,4.0,4.0,0.0,0.0,680.7983409429032,490582.0410332397,54.15634348755536,0.3213573563965136,5167.0,4927.0,7937.0,1255.0,44.0,1261.0,868.0,6896.0,3150.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,6,mechanism_50_4,multi_hotspot_boundary,50,4,0.5867946150625118,0.03232347910020385,38.24034308292903,139,1.0,699.5965628494919,838352.9442299417,63.43094457822846,0.26809219036279935,3.0,3.0,0.0,0.0,606.0067429589681,438418.81325185986,53.05789919427715,0.3300918767268021,5345.0,5005.0,7832.0,2991.0,171.0,3050.0,868.0,6938.0,3278.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,7,mechanism_50_4,multi_hotspot_boundary,50,4,0.44800589352811193,0.09798020688385255,37.854923374950886,138,1.0,797.2907196558897,939278.5573440327,62.194980700215055,0.29026018132959275,4.0,4.0,0.0,0.0,705.8132062773032,442158.4325138406,52.16038847156581,0.3491366546139826,5196.0,4882.0,7747.0,2523.0,153.0,2545.0,868.0,6898.0,3154.0,5.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,8,mechanism_50_4,multi_hotspot_boundary,50,4,0.49498480329332023,0.05332172688025218,38.299249042058364,138,1.0,730.4005426326638,935155.9765259139,62.19871257947389,0.25870463136389993,4.0,4.0,30.68120156047256,70.85519991999999,698.701950220776,448460.2600587323,53.05757112514123,0.3272111367704127,5234.0,5008.0,7756.0,2605.0,172.0,2637.0,868.0,6753.0,3051.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,9,mechanism_50_4,multi_hotspot_boundary,50,4,0.4346539914492902,0.10113451233075939,37.234238208970055,140,1.0,772.1733180895892,941432.2684800708,64.61680490818398,0.25311280616138027,4.0,4.0,0.0,0.0,719.0819582527804,496772.8164090381,53.442120257241086,0.3657091533444698,5184.0,4944.0,7874.0,2128.0,154.0,2139.0,868.0,6676.0,3224.0,5.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,10,mechanism_50_4,multi_hotspot_boundary,50,4,0.4519873921762528,0.08812781813508169,36.45246620802209,139,1.0,872.1316319287122,709813.7470732705,66.73116371653784,0.30622456097627415,4.0,4.0,1.5229915909352447,3.5171984199999997,708.4916820651841,449904.6673181915,51.86835809037333,0.34539213562392873,5155.0,4724.0,7788.0,1606.0,107.0,1625.0,868.0,6704.0,3235.0,0.0
