suite,algorithm,group_name,scenario_type,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count,value
uav_count,msd_ag_nsga2,uav_3,multi_hotspot_boundary,837424.1883839201,116203.56418437757,829548.1759659706,0.3706776575854557,0.074128482225186,0.3440214565500634,679.1138407007951,48.24979229915676,673.5323296327265,53.96805090686289,7.4558013439946045,54.80335569285758,0.6396285580240723,0.0759352477916582,0.6638477928795086,0.0322208536294755,0.0115075716815069,0.0304427729220788,1.0,0.0,1.0,4.7625,8.258698066281392,1.0,868.0,0.0,868.0,6421.9125,603.8351843373737,6577.5,3311.125,167.16057960835144,3358.0,0.4278620290093707,0.0715964334848231,0.4107732278931947,456219.2463657249,48713.49553863571,440610.4688826585,616.859483324605,45.261530763378566,614.3839602032197,43.50048829728688,7.593483582857669,41.90823943314779,1404.15,637.2094063178916,1302.5,7803.425,81.96474470770956,7798.5,1474.6625,658.4065412750317,1385.5,292.3875,339.36560277044873,187.0,5002.3,117.94081142674914,4998.5,5209.2625,66.70246317603271,5208.5,136.4,7.567364138192373,139.0,33.20234212343057,4.662733037201882,32.06453287508339,3.0125,0.1111024302164448,3.0,0.8029434260000002,7.136717276393456,0.0,0.3785111609558393,3.364280787699333,0.0,3.0,0.0,3.0,80,3.0
uav_count,msd_ag_nsga2,uav_3,remote_hotspot,1343777.383854858,364177.6196961437,1289155.226766569,0.1947765166910209,0.0361373430132647,0.1979849187386569,797.1976279456239,60.30335874995398,804.2891112056373,68.53290987919851,3.61352691746828,68.20647038004496,0.6753557720450739,0.0463216281025821,0.6799154360991957,0.0312262859846043,0.016663264748667,0.0259755391856318,1.0,0.0,1.0,21.775,27.022664098863384,12.5,868.0,0.0,868.0,5688.35,691.4883241964394,5878.0,2731.525,371.688309440854,2728.0,0.2993368570527387,0.0347096275509964,0.3045381301661763,557018.2379903598,67204.58427589877,532966.1828802486,673.7027458033666,38.633492885086206,673.3276617630391,56.8815471249638,4.94275798726966,54.657583151602246,2907.0375,661.0921161939158,2821.0,7797.7875,78.25434392894749,7798.0,3298.1125,527.5174640177802,3215.5,1802.15,854.1020445473714,1713.0,4998.55,108.90464866111088,5018.0,5204.375,68.84591037236707,5203.5,135.45,9.181367000615976,138.0,52.74844465105271,8.218648549923564,51.98819256259594,3.8375,0.5109733358992423,4.0,70.174255821375,45.297216513027806,87.30455023000002,32.838106148654816,21.20718517599534,40.6336998943585,3.0,0.0,3.0,80,3.0
uav_count,msd_ag_nsga2,uav_4,multi_hotspot_boundary,844981.5021316588,81253.72759574617,847144.5925459249,0.4165177187456009,0.0498478650339135,0.4129197425430204,843.3727372707547,29.609244229295093,843.3933933575614,52.65770697580624,5.185338539879893,52.56869088524029,0.6016195982962674,0.0397025112094307,0.5976359215158762,0.0423770338247403,0.0169211378157575,0.0391955439415539,1.0,0.0,1.0,1.8125,3.9468143799778574,0.0,868.0,0.0,868.0,6692.8625,277.51683479340494,6809.0,3398.825,88.80748490414533,3422.0,0.4962774255488501,0.0562752161496375,0.4953607999308963,467746.4544861232,29967.219171344594,467422.33846407,749.396978611205,31.557459736213456,748.1643099601041,40.86864105615202,7.117732919146521,41.64954192036559,2405.7625,671.0086669289376,2439.5,7798.275,71.22446472245335,7801.0,2451.9125,695.6461060365033,2475.5,310.7375,216.56527559548877,234.5,4984.0375,138.19464929493472,5004.5,5213.425,61.916026802436214,5217.0,139.125,1.0767427733679016,139.0,37.182260913518256,3.222666240741711,37.032904167077504,4.0,0.0,4.0,12.571022455875,19.68696817295549,0.0,5.443412399166196,8.524707280637585,0.0,4.0,0.0,4.0,80,4.0
uav_count,msd_ag_nsga2,uav_4,remote_hotspot,1503507.4351407762,532615.9026084944,1456272.1933271764,0.1603831111568678,0.0419843471176247,0.150772755625363,946.3436391232616,89.90835579319932,959.7526795577884,70.27046463368872,3.529938612858338,69.76684349331293,0.6518009292837541,0.0628497371351898,0.6446247003493188,0.0297897398134326,0.0114579702163824,0.0286416070398042,1.0,0.0,1.0,4.6625,8.78627302956151,1.0,868.0,0.0,868.0,6686.6625,238.96620805827337,6752.0,2898.4125,330.10625917081614,2913.5,0.29571965589755,0.042938780424189,0.2842861547925267,485769.9947471748,39994.662245244,477885.7044781507,790.0044455435208,37.087826270576734,792.2918060656812,56.54734217556381,5.683823917700406,57.04560104606098,4692.9125,615.9762615911022,4892.0,7824.05,76.89081544631972,7815.5,5337.525,654.9458942347834,5522.0,1810.6625,653.9873458972659,1730.5,5031.55,106.2155708924073,5034.0,5204.2875,71.48657107282457,5206.5,139.275,1.3872184399005083,140.0,65.91709928899363,10.596890043073111,64.50609510345384,4.6125,0.6019499563917253,5.0,68.88672900362499,68.55863802210123,86.64155038000003,29.367879544188792,28.767345468117945,37.41037121899791,4.0,0.0,4.0,80,4.0
uav_count,msd_ag_nsga2,uav_5,multi_hotspot_boundary,846085.3173939234,90308.55712885204,827959.5382607414,0.4474134123416832,0.085805239492527,0.4443919735175913,975.0306567172938,52.1124676111789,978.1469629531798,47.31677293461877,6.635642762719493,46.25168578164438,0.5945980938538249,0.0671727985696552,0.6059723408679178,0.0551391203035115,0.02626580249553,0.0508793001069228,1.0,0.0,1.0,4.025,8.25374914811445,1.0,868.0,0.0,868.0,6732.4125,259.61782940266255,6823.5,3414.9875,82.84616674143712,3449.5,0.5416393739708985,0.0821099401730731,0.5522834066788274,464176.9194331357,26056.551075556836,465797.8348795875,863.9736825193683,46.47431093378405,858.3692960777844,33.24395667564336,6.269559299920139,30.877546834793385,2970.3125,689.4800141003001,2992.0,7784.05,82.63986628740393,7780.5,3074.675,759.9619525838119,3116.0,238.7625,149.08682401121166,225.5,4952.075,129.36467591657313,4978.0,5199.2875,64.42732218360467,5195.5,139.25,1.0781929326423914,140.0,39.151393210387326,3.352055708675711,39.301436416455545,4.85,0.3570714214271425,5.0,42.600553845250005,40.71977299227234,37.86060636500001,17.327565498610415,16.501163933662326,14.925712343858407,4.85,0.3570714214271425,5.0,80,5.0
uav_count,msd_ag_nsga2,uav_5,remote_hotspot,1302056.934442724,463074.7226654486,1133764.249354714,0.2130384989940234,0.0487951726625212,0.2102659012945167,1095.1814273438547,77.11385951704099,1078.9342502453107,64.20625234424696,4.925110422319298,64.26458700170551,0.6787574345013285,0.0674583191617948,0.6701514192628722,0.0347940877863847,0.0185544310502925,0.030279100625964,1.0,0.0,1.0,1.95,4.401420225336363,0.0,868.0,0.0,868.0,6782.3,180.63737154863608,6847.0,3130.7125,184.41727100179637,3135.0,0.3045786317744782,0.0341324291411947,0.303224730841877,489891.40114036464,37314.205521668526,493601.77128473984,965.3818838823564,42.25519170650774,969.8900821398016,51.613339881388285,5.69169302237484,50.696056060936144,4436.7625,907.8768534849592,4544.5,7786.3125,82.96966218895916,7779.5,4950.65,1131.1558590662914,4981.0,1293.6375,774.6000781653394,1078.5,5003.9625,102.48773630903358,5013.0,5194.175,68.29289403005264,5193.0,138.8875,2.4949636770903103,140.0,61.85873686345876,13.585517572290176,57.68503504106775,5.275,0.6118619125260208,5.0,40.581670729,54.31554382884941,9.800632484999994,16.57449078953779,22.402992557481088,3.9202529939999975,4.9625,0.1899835519196333,5.0,80,5.0
uav_count,msd_ag_nsga2,uav_6,multi_hotspot_boundary,875439.1156980044,99408.72582433844,868413.2528430668,0.4726318099869783,0.1054201878061563,0.4573718771584688,1112.0535529108363,59.284452924379714,1114.1472589233722,48.01600800916216,7.206664678867076,48.53882713246186,0.5905745211177316,0.0578247885679825,0.5720615218665539,0.0534755738940453,0.0220125385806279,0.0530437657852871,1.0,0.0,1.0,3.1625,7.30315642376637,0.0,868.0,0.0,868.0,6731.8375,214.1109200712332,6781.5,3401.825,92.75111522240582,3440.5,0.5631714291944251,0.1042086513916816,0.5750335953990514,484287.6182799735,31380.992243416506,484064.00934758777,985.7767338677148,52.82206669121337,990.3232597988468,34.113485623737105,9.054796952080686,34.22981974792141,3636.075,667.1936520793644,3629.5,7796.4125,72.18287431067012,7798.5,3797.6375,768.8031322085974,3738.5,321.775,209.43292333107513,303.5,4845.0625,134.74284245832874,4878.5,5203.125,67.2300853413113,5202.0,139.0125,1.279587335823546,139.0,44.096820096869486,4.101967978074511,43.71945868746843,5.8125,0.3903123748998999,6.0,55.385541721,32.87510367158333,59.91604661000001,22.065750671949377,12.89342105550144,24.133774659993897,5.8125,0.3903123748998999,6.0,80,6.0
uav_count,msd_ag_nsga2,uav_6,remote_hotspot,1297499.726688841,338845.4466076434,1256609.2466980382,0.1958094862596972,0.0442948660692746,0.1971873853867649,1232.8245801300504,107.77439878542324,1218.8898455950011,69.3005822266927,2.858652359370278,68.9157665565044,0.6231130225115662,0.0435253323681183,0.6224529341243894,0.0440766866490605,0.0176876132608791,0.0425141062262058,1.0,0.0,1.0,3.875,8.429672294935314,0.0,868.0,0.0,868.0,6796.0375,173.88986771445312,6846.0,3128.15,172.09184321169903,3166.5,0.2945267300502578,0.0395292877537655,0.2928124393121079,514288.0292143982,39578.57936245621,517521.15501174016,1044.4486887969776,62.85656551993174,1049.0149469240496,57.30188193221128,5.336825894200135,57.82092891682876,5009.1625,783.0267148020878,5132.0,7791.525,78.77800692452178,7786.5,5386.6125,873.7724602799918,5505.5,1268.7125,615.6238541867509,1065.0,4942.8875,135.08265930070374,4955.5,5188.725,63.126851457996864,5195.5,139.0,2.0976176963403033,140.0,50.209952813529526,10.866328803500464,49.11106024996843,6.3,0.7648529270389177,6.0,65.17811940525,51.0251630303689,81.61790384,23.963709591438317,18.438081997203028,30.372750904725443,5.7625,0.4539754949333719,6.0,80,6.0
R_max,msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,781236.3189625297,126568.11905704909,793214.0839079167,0.2600993650712082,0.0666368922468538,0.245693029254602,865.1291461002035,40.11345758210751,873.4700428593646,64.23288822249452,5.1885495376304185,64.59020791675266,0.5433464470822307,0.0506055936142359,0.5456943198178712,0.0550304417089513,0.024468054943944,0.0510990213338952,1.0,0.0,1.0,3.1125,4.969893736288533,1.0,867.9125,0.4525966747557919,868.0,6656.25,227.3034590585898,6700.0,3019.6875,321.0000620619099,3071.5,0.3270125947870539,0.0751787580898417,0.3042335910753564,431315.89962714835,22298.867784235852,431394.20733803,751.5139234063997,42.10553901359811,763.365211372598,54.07728477391676,5.976289004087731,54.53179214296614,5211.5125,485.2278071625224,5325.0,7834.6,84.47434521794176,7824.0,2688.725,679.3845371915672,2680.0,5909.7875,560.922492278345,6028.0,4998.225,104.12048009397574,5001.0,5226.425,63.512356081316966,5223.0,138.4375,2.0300477211139643,139.0,110.38280249318632,11.409633765348396,111.41161454108078,3.95,0.2179449471770336,4.0,14.3544170365,22.978929286856417,0.0,6.215644905062568,9.950168257091946,0.0,3.95,0.2179449471770336,4.0,80,1.0
R_max,msd_ag_nsga2,mechanism_50_4,remote_hotspot,694073.622362035,65490.23510902129,682765.9391503399,0.0953434041931551,0.0423170259787421,0.0996135048108256,895.8713439644555,48.058207407184,897.1164652710588,81.50900010420962,3.2834558806533267,81.87803427890442,0.6596551739408423,0.0596652032885002,0.6657694536823389,0.0526909326236194,0.0248845437414224,0.0458886334257659,1.0,0.0,1.0,11.1875,13.183411688557708,7.0,865.0,6.268971207462991,868.0,6024.6875,544.2960268491311,6078.0,1230.0875,601.1252821531881,1215.5,0.1216531109722233,0.0483608979081521,0.1262068300309663,450508.61775351706,26134.975944954094,448757.15025283233,806.1376443919419,46.01589315276051,804.334916395601,78.94005651429866,4.344465035899816,79.44456907046647,5313.2,280.1575181928909,5349.0,7855.325,81.38101360268254,7852.5,4028.7625,841.7315819747706,3975.0,6613.8,252.4553623910572,6651.0,4993.4,110.1565476946332,5001.0,5245.4875,70.59479331898352,5236.0,133.3625,7.3709628780777345,136.0,120.7969841629936,15.541512922934016,124.19221185450442,3.975,0.1561249499599599,4.0,11.19033527625,28.60797649428715,0.0,4.845557313048827,12.38761719746038,0.0,3.975,0.1561249499599599,4.0,80,1.0
R_max,msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,875457.9251470905,106252.92434361976,888677.5373937935,0.4196633978850562,0.0875011081122875,0.4192283056952088,849.3475910892423,64.09890135638491,864.4926401697,51.128312757440504,6.230775767623989,52.01232442364174,0.6021246878803953,0.0808506985990747,0.6006160198460142,0.0400979900801576,0.0206517004000678,0.0369589825474659,1.0,0.0,1.0,1.075,2.7467025685355884,0.0,868.0,0.0,868.0,6742.5875,183.61193409947515,6783.5,3380.4125,100.91923673784896,3409.0,0.4940487939807669,0.0957035327859457,0.4765430204067619,458324.6331573645,24121.4527234125,458749.2268114523,754.8146769955459,49.790848231128535,768.4678909780006,38.94201830088322,8.121030397369054,38.24469840565345,2653.925,588.6723574069025,2685.5,7798.275,72.73031950294182,7804.5,2718.5375,601.1084333077935,2771.0,383.8875,287.4558659059682,302.5,4973.1375,88.28416388996388,4981.5,5191.85,62.7732227944368,5186.0,139.1875,1.5739579886388329,140.0,38.27900133588992,3.3196628173263742,38.04281710460782,3.9125,0.2825663638864329,4.0,10.839171732875,18.51165559838441,0.0,4.693499038325973,8.015782007154662,0.0,3.9125,0.2825663638864329,4.0,80,2.0
R_max,msd_ag_nsga2,mechanism_50_4,remote_hotspot,1289734.4586289008,387419.39254184655,1159038.6802581842,0.1841240695352495,0.0465364182102343,0.1832112081458365,952.6335360000264,98.9021263508796,948.1290362260048,70.3080864864186,2.762587426910961,69.87640936259541,0.678794742310254,0.0640809997399506,0.6602620358871,0.0328847782233382,0.015453401638013,0.0301620443501424,1.0,0.0,1.0,6.425,14.922947932630471,1.0,868.0,0.0,868.0,6522.4,299.4190875679104,6575.5,2826.875,242.70091548035,2843.5,0.2781494096555662,0.0329117030303376,0.2715084146314823,500743.5507348381,48203.52390743861,491648.8636868752,817.5990395221093,42.21985649229968,820.335411979404,59.22285137220099,4.954736763054774,59.63440456305497,4271.575,758.2403935263538,4478.5,7799.35,75.10361176401571,7804.5,4724.6125,853.3204628647727,4926.5,1648.7125,709.4085422686634,1570.0,4983.7125,116.79353511110963,5015.5,5199.4625,67.20638804272998,5197.0,138.5,1.7888543819998317,139.0,54.04195216203516,13.412162866519548,54.196673978469335,4.5875,0.6460214779711275,4.5,50.20861838775,51.2191866032525,46.45758200499999,21.924027731797175,22.370882233780616,20.116723107364393,4.0,0.0,4.0,80,2.0
