algorithm,group_name,scenario_type,generation,HV_mean,HV_std,IGD+_mean,IGD+_std,count
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,0,0.38370832056512055,0.10018859813874052,0.16704358009984827,0.048429397594806196,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,1,0.40183435966769104,0.10737703717769029,0.15939272269685642,0.04796578378934776,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,5,0.42277837390906214,0.1090576871087839,0.14740947088427434,0.04542191925082763,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,10,0.4634559842578964,0.10355099820674318,0.11511988683619737,0.03468638847656668,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,15,0.4771198615127087,0.10176841232967196,0.10696298860531614,0.030662981598013016,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,20,0.48469364624758154,0.10110744826924617,0.10348078671211144,0.02974883188941099,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,25,0.49330078619389184,0.10010175933799974,0.09837294117790144,0.02811915499651771,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,30,0.49932926168087627,0.09924606659276831,0.09536663901195522,0.02743107367622487,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,35,0.5074519850166274,0.09889400817863675,0.09057528015835566,0.02542278177184948,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,40,0.5144071464262037,0.09953351902793674,0.0869849423760762,0.025084939110608814,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,45,0.5199824178545708,0.0995459841511301,0.08445416112068907,0.02472730718720111,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,50,0.5260995983028726,0.09922564449798017,0.08103188862487125,0.0236867978383866,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,55,0.5309742468510871,0.09806375574729645,0.07845697203799844,0.023628404325901027,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,60,0.5355773572637818,0.09972634896497827,0.0766018294070648,0.023341208273711608,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,65,0.5408989052681761,0.09985441846598297,0.07394083429177253,0.023131096265484964,80
