scenario_name,scenario_id,C,A,G,AS,highlighted
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,688.593033182686,733792.6360316366,64.10672288344884,0.30511354120695683,cost_prioritized
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,700.9748270037388,861407.6042562296,60.05957364995002,0.3440758238064822,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,703.0604537548425,657366.6210337129,65.90525990976447,0.2892288701687527,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,709.1957838607464,820227.2771926605,59.02646543851384,0.35209381353490926,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,711.7936397118381,695646.152025426,65.04206032644427,0.3358937111647437,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,715.5844328229274,682915.9045168051,64.31702577833146,0.30245882366027105,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,717.9960857699004,573006.6007168541,66.10689927661335,0.31141912112670106,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,720.0145965688457,655394.9111024898,64.00895211500807,0.34391170089317064,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,731.6953497173521,559915.9390703674,66.65994847634319,0.29170412226528464,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,734.932092141787,540772.9388038865,70.51284343739954,0.27957832093474894,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,739.0255378993987,573043.3706459994,65.38401190001713,0.31872268301556633,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,739.5949446074525,553460.0834847894,68.81570873946588,0.28297710239637747,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,742.6111475912661,760190.2185779322,59.20020307473857,0.28993479258940147,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,743.549488216907,753436.6498411301,59.670222369110675,0.28889030526857457,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,745.8754196977834,621424.9104498684,62.65562383322454,0.3120751789520853,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,746.4360048925195,826581.6178710022,57.95419349191109,0.35915456665630513,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,747.1445805303174,539042.9045786206,70.05431855443746,0.2886469746228674,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,748.8596100226678,538085.422930774,68.95389834150387,0.2721354326166925,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,749.6424206188636,525064.0621587611,68.36029665865708,0.2858125841704004,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,752.5819697006889,544511.714914076,68.2666499208469,0.2858804010298317,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,756.8291759045729,510723.43923971703,70.203240748474,0.29500351558489285,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,757.1202320183309,568739.3337184493,64.67299007035452,0.32467428674072857,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,758.2808151548235,973872.6712139653,53.95893515828083,0.36497510524832394,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,762.1749989747691,822331.5073334029,58.13039317423411,0.3091969989561482,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,764.2659046609124,943402.8910237399,52.50247570196656,0.3636771272443295,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,771.6865718653922,1102986.775452503,48.50383376612197,0.4447351162739493,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,775.4007655560683,1065111.0277639471,46.333779899880085,0.43925334526363147,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,776.3509222710045,858721.2270771776,57.50247570196656,0.3436771272443295,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,778.3393701885332,1001837.4468892452,50.95126143790359,0.41351844414857575,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,783.663184883239,899090.2194333898,54.04696368048878,0.37445433348579954,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,785.9644954027967,904940.7968215124,53.691497147755065,0.38583675453299976,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,789.4950834216925,887528.6838087316,56.308672815133775,0.3188077858365724,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,792.5681473622136,1057900.7364014275,46.801102321419684,0.4299068968328394,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,802.4121521436975,990923.3683907775,46.20992655177342,0.4232428526861732,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,808.1759060914259,1006937.0460990125,42.69897454585651,0.43407671281798904,
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,812.1593821141512,913066.2666647702,48.729551885362156,0.41199102291840817,
