algorithm,generation,HV_mean,HV_std,IGD+_mean,IGD+_std,count
moead,0,0.001283741804238352,0.0053541637642131185,1.0104139542563748,0.12179206671924657,640
moead,1,0.00309393630640732,0.0109813182128337,0.9899722930137586,0.14894889074030468,640
moead,5,0.0048087236880561615,0.013310203545893106,0.9646731942482258,0.1673629103052604,640
moead,10,0.006472090484101629,0.015929492488965753,0.943709035296254,0.17445358312354722,640
moead,15,0.007940390531718146,0.01843289758630232,0.9266912054982545,0.18024669685942277,640
moead,20,0.00898747331154659,0.01952762814372605,0.9134622012557688,0.1816860800732549,640
moead,25,0.010075460864392463,0.020850090549304576,0.9009050120455917,0.1831120936602733,640
moead,30,0.011166135496986524,0.022171426514083645,0.8904749369846859,0.18537429159709096,640
moead,35,0.012087446351923237,0.02297893139335058,0.8812922540934714,0.18635125873684774,640
moead,40,0.012871551714307103,0.023621881132258334,0.8733455411493761,0.18583336989405094,640
moead,45,0.013838939177428544,0.024519703579546807,0.8652555795315668,0.18611952726029696,640
moead,50,0.014806414522392194,0.025587686836960655,0.8574091343193672,0.18663827444482164,640
moead,55,0.015784663807449584,0.026474840509110874,0.8501193888736683,0.18705908658949277,640
moead,60,0.016711418653525947,0.027288761054001305,0.8436741105162415,0.18749057448497053,640
moead,65,0.017457821691506233,0.02792408364459635,0.8375693959060371,0.1870888892889585,640
moead,70,0.018040607041567486,0.028514116224321547,0.8327025001876016,0.18675962539524102,640
moead,75,0.018513281089908424,0.028895830024169275,0.8280162296270761,0.18612642204823845,640
moead,80,0.019319948666535403,0.02975509070337194,0.8228774451338936,0.18626310904882046,640
moead,85,0.01985784537397951,0.030300539668637324,0.8183018150489195,0.18562888285934165,640
moead,90,0.020332984572498103,0.030658559961684973,0.8143009037826051,0.18478760321767865,640
moead,95,0.020828069615292762,0.031193784350786704,0.8096621800232201,0.18383396463937765,640
moead,100,0.021569665625282796,0.03197331773205225,0.8052006966583047,0.1840743895855697,640
moead,105,0.022243385595541197,0.03246926116960165,0.8007379419764222,0.18361009831552527,640
moead,110,0.022801475774978573,0.032838210352075896,0.7972387527319783,0.18369986655287476,640
moead,115,0.02342725129589212,0.033402287484929634,0.793386947465179,0.18366509721098243,640
moead,120,0.024010012609875682,0.03366540976148327,0.7897975654453167,0.18382352872550983,640
moead,125,0.024474582400677618,0.03408889132681358,0.786152364438178,0.1827932805650217,640
moead,130,0.024879269946571456,0.03437617357089132,0.7832558494303526,0.1819637786596082,640
moead,135,0.02534654916913367,0.03479503730133044,0.7809560504991466,0.1824562713431476,640
moead,140,0.025675061685078687,0.03503489811812092,0.7787107457108888,0.18175331274534168,640
moead,145,0.026131166747071895,0.035506895334373484,0.7764249692168287,0.18142239120297926,640
moead,150,0.02653526393360503,0.035836814090602374,0.7740079552455074,0.18134990587385194,640
moead,155,0.02690737960658405,0.03608436936272471,0.771669222956359,0.18087220765977421,640
moead,160,0.02697928104249263,0.03611622022593752,0.7703734215487771,0.180057743991019,640
moead,165,0.02726104819566393,0.03624872487799472,0.7686263666224142,0.17966913140430502,640
moead,170,0.027676645372903024,0.03649345086397875,0.7663704149653222,0.17940059497448715,640
moead,175,0.028018982986952868,0.036765227911307805,0.7644966947540239,0.17930820277498566,640
moead,180,0.028336959260066637,0.03692462038939849,0.7627465629806341,0.1790517843537918,640
moead,185,0.028460407298480095,0.03677263604329626,0.7615782095924865,0.17827144766886008,640
moead,190,0.028831961516091076,0.036895333159236106,0.7592827733126901,0.17780634965442607,640
moead,195,0.02922521968052575,0.037043105883302355,0.7570839152973747,0.17744393972556527,640
moead,200,0.02590604842898414,0.0366349612648908,0.7888037010178323,0.17817640245637054,480
moead,205,0.026323814308099595,0.03686731286699063,0.7867917675138557,0.17813889457111903,480
moead,210,0.02653963131098176,0.03686172292956683,0.7850241901496271,0.17719141662209534,480
moead,215,0.026802325366462976,0.037032276055531756,0.783543798880461,0.17690571918633843,480
moead,220,0.027239729975854318,0.03760988428245593,0.7816827895143202,0.17711132025528672,480
moead,225,0.027551704963378363,0.03800376811965069,0.7802297751517219,0.17742365084690562,480
moead,230,0.027761640850688666,0.03834830406402487,0.7789976966928419,0.17751058306250683,480
moead,235,0.027938652174504364,0.03852692439735177,0.7780035843744023,0.17740578228468917,480
moead,240,0.028248751121663217,0.03883969557764264,0.7766847860720032,0.17770219740029936,480
