scenario_name,scenario_id,solution_type,node_id,uav_id,completion_time,T_i,a_i,b_i,is_key
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,38,2,63.48144322,213.3668241731966,123.36682417319659,303.3668241731966,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,39,2,230.12632374,163.8012188493413,73.8012188493413,253.8012188493413,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,40,2,199.20467008,365.075095422793,275.075095422793,455.075095422793,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,41,2,218.54487757,328.46928533363007,238.46928533363007,418.46928533363007,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,42,2,73.32372298,312.8567603619614,222.8567603619614,402.8567603619614,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,43,2,149.84308799,275.6660761497144,185.6660761497144,365.6660761497144,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,44,2,136.08698393,245.01419232632136,155.01419232632136,335.01419232632134,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,45,3,22.2786168,189.9566175645607,99.9566175645607,279.9566175645607,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,46,4,220.3002712,204.44711581646425,114.44711581646425,294.44711581646425,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,47,2,42.44866586,293.7239432793384,203.7239432793384,383.7239432793384,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,48,4,226.84851298,164.44629744874752,74.44629744874752,254.44629744874752,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,49,3,169.24926452,47.838033918184784,0.0,137.83803391818478,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,50,3,195.88939875,241.7651820528414,151.7651820528414,331.7651820528414,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,1,3,175.82896782,180.32708416812957,90.32708416812957,270.32708416812955,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,2,3,168.30127733,239.59033196432992,149.59033196432992,329.59033196432995,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,3,1,92.58206033,89.42622227646629,0.0,179.4262222764663,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,4,1,69.9215376,69.92153759554256,0.0,159.92153759554256,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,5,1,111.4350656,111.43506560362889,21.435065603628885,201.43506560362889,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,6,1,116.55199876,86.4011639341164,0.0,176.4011639341164,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,7,3,95.89672871,92.48434271028137,2.4843427102813678,182.48434271028137,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,8,3,209.81846671,224.05121307110284,134.05121307110284,314.05121307110284,True
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,quality_prioritized,9,3,87.42067476,227.0590757767306,137.0590757767306,317.0590757767306,False
