algorithm,group_name,scenario_type,generation,HV_mean,HV_std,IGD+_mean,IGD+_std,count
moead,main_30_3,multi_hotspot_boundary,0,0.0019205109478151454,0.005858744764181883,0.9055321025713546,0.0847629209680096,80
moead,main_30_3,multi_hotspot_boundary,1,0.004061239410790748,0.011661269618287074,0.8748224894191157,0.12068852058235177,80
moead,main_30_3,multi_hotspot_boundary,5,0.004685930387806717,0.013987220228032154,0.8392123838793168,0.12056702078059552,80
moead,main_30_3,multi_hotspot_boundary,10,0.005830740420042193,0.015575086049358023,0.8245173913993256,0.12489185257749458,80
moead,main_30_3,multi_hotspot_boundary,15,0.0067926183117306,0.017191745408281996,0.8038627073021661,0.12254105350943234,80
moead,main_30_3,multi_hotspot_boundary,20,0.007459926606502565,0.01792416048707537,0.7937524721699122,0.11958211989049113,80
moead,main_30_3,multi_hotspot_boundary,25,0.008493693552038089,0.02067814795449337,0.7820878598398995,0.12070640576617526,80
moead,main_30_3,multi_hotspot_boundary,30,0.00989175103585262,0.022436668882432436,0.7713530302702812,0.12252434259083694,80
moead,main_30_3,multi_hotspot_boundary,35,0.010302685756970768,0.02278418513174482,0.7660109499637995,0.12127355641523899,80
moead,main_30_3,multi_hotspot_boundary,40,0.010293110886058613,0.023131500115505924,0.7627511263924188,0.11943125179073336,80
moead,main_30_3,multi_hotspot_boundary,45,0.010592234475522795,0.02348329637208692,0.7596963200537795,0.1214396353863162,80
moead,main_30_3,multi_hotspot_boundary,50,0.011280881816604957,0.02373019680553538,0.7522787527612366,0.11958797595173692,80
moead,main_30_3,multi_hotspot_boundary,55,0.011819102000885453,0.024029298392497404,0.7473957231011517,0.11778821110331235,80
moead,main_30_3,multi_hotspot_boundary,60,0.012683572497431291,0.02354709471893191,0.7417311886791069,0.11645909873747666,80
moead,main_30_3,multi_hotspot_boundary,65,0.012794768475712353,0.022828216120214292,0.7386465176863781,0.11532462920486596,80
moead,main_30_3,multi_hotspot_boundary,70,0.013950269900331885,0.023393962612703618,0.7329156839470112,0.11748789932709715,80
moead,main_30_3,multi_hotspot_boundary,75,0.01432521600786108,0.023541419157591587,0.730462390620192,0.11699195066148127,80
moead,main_30_3,multi_hotspot_boundary,80,0.014910718127179992,0.023988017326891067,0.72749856860704,0.1171366660330329,80
moead,main_30_3,multi_hotspot_boundary,85,0.015221000277767734,0.02430862621684412,0.7254422297571184,0.1160464957541136,80
moead,main_30_3,multi_hotspot_boundary,90,0.015763854920949318,0.024701838152056843,0.7229095403134901,0.11668096344726839,80
