scenario_name,scenario_id,solution_type,uav_name,sortie_index,step,node_id,x,y,is_key,is_depot
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,3,29,650.949767284838,1303.0682406577316,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,4,17,683.9478273964222,1339.1583335439536,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,5,22,756.4259463426968,1423.8141747016605,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,6,31,559.5342382579827,1349.650630623533,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,7,20,489.24890999002736,1397.5815889621379,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,8,26,423.7623162572689,1409.9477610464292,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,9,23,450.4512898931823,1523.9596603113077,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,10,27,529.5908313962204,1552.708661549952,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,11,30,613.9900707531104,1462.5422006296055,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,12,21,475.8703324734075,1398.2937384724148,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,13,25,448.6794554212021,1351.5549146633261,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,14,24,529.0168259538846,1287.5804724353675,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,15,28,567.3252942718239,1052.4177383960969,False,False
MHB_M,mechanism_50_4_multi_hotspot_boundary_id04,cost_prioritized,uav_4,1,16,46,675.0434718685004,970.9611980981214,False,False
