algorithm,generation,HV_mean,HV_std,IGD+_mean,IGD+_std,count
msd_ag_nsga2,0,0.40257419365313574,0.1018262909019924,0.16749268165307646,0.06110927779968977,160
msd_ag_nsga2,1,0.43109585450947285,0.09665724338635427,0.14909752420557962,0.04833518568168137,160
msd_ag_nsga2,5,0.4513466312672625,0.09473454956833481,0.13782455641093222,0.04431291032472301,160
msd_ag_nsga2,10,0.4843622856389825,0.08810641938797449,0.11505222637911423,0.036193345099407026,160
msd_ag_nsga2,15,0.4962046144891934,0.08588179862111946,0.1081165344289996,0.03293673492951208,160
msd_ag_nsga2,20,0.5041312798147952,0.08486040701382891,0.10383983451931567,0.03097821327804974,160
msd_ag_nsga2,25,0.5128290028756353,0.08439833020662686,0.09910196252171741,0.02970084098341912,160
msd_ag_nsga2,30,0.5192655319327988,0.08410958070321323,0.09572522509850126,0.028870099947260683,160
msd_ag_nsga2,35,0.5268400292700622,0.08330482463011213,0.09091715484890135,0.026464307946478062,160
msd_ag_nsga2,40,0.5329672746546162,0.08336895954644664,0.08755074248546621,0.025769020524481122,160
msd_ag_nsga2,45,0.5380287011459749,0.08312927038813585,0.08496451016524827,0.025085271737615898,160
msd_ag_nsga2,50,0.5437168163410518,0.08276452053017028,0.08184909820487156,0.02416114796912503,160
msd_ag_nsga2,55,0.548591325016283,0.08217756581814263,0.07904130119706076,0.0237713285026625,160
msd_ag_nsga2,60,0.5534562020476393,0.08372991638858567,0.0768131731080476,0.0235442696758592,160
msd_ag_nsga2,65,0.5586136958668453,0.083807009843015,0.07391097274900502,0.023112849551338632,160
msd_ag_nsga2,70,0.5622715279006663,0.08419506997159262,0.07199658048418807,0.023124836884635257,160
msd_ag_nsga2,75,0.5666209048996181,0.08447149860172387,0.06967212868981168,0.022915947197503058,160
msd_ag_nsga2,80,0.5703842790510816,0.08507349838437356,0.06786513814140296,0.02276132932952492,160
msd_ag_nsga2,85,0.5736538609137283,0.08501772095091381,0.0663661212216108,0.022534111004214253,160
msd_ag_nsga2,90,0.5773002724700979,0.0854903985883808,0.06461607905800763,0.022247963408608726,160
msd_ag_nsga2,95,0.5802649319583795,0.08604815343972665,0.06334821314372421,0.02225238155058082,160
msd_ag_nsga2,100,0.5828036697056389,0.08584695242136367,0.062026781285881426,0.022013197060840158,160
msd_ag_nsga2,105,0.5853258758473939,0.08613430487025206,0.06085769262334388,0.021749802419411362,160
msd_ag_nsga2,110,0.5874855420238723,0.08619305873458204,0.05972711603338219,0.02156684506021093,160
msd_ag_nsga2,115,0.590047426867806,0.08638033873254249,0.05861249353851274,0.02139690892611581,160
msd_ag_nsga2,120,0.5920701473342324,0.08672528493606557,0.0575987490307067,0.021358059197956393,160
msd_ag_nsga2,125,0.5937155903953346,0.0863910243099982,0.05679542980824546,0.021203164468684536,160
msd_ag_nsga2,130,0.5956460664950555,0.08616740724672002,0.05580548189410169,0.020900746044310574,160
msd_ag_nsga2,135,0.5977019257587896,0.08592984741408215,0.05472510432707165,0.020366926762980454,160
msd_ag_nsga2,140,0.599434131307468,0.08592800436786306,0.05398398446577994,0.0201929569014795,160
msd_ag_nsga2,145,0.6018283298596572,0.08616999367915204,0.052938109090702554,0.019975633648150363,160
msd_ag_nsga2,150,0.603592548863339,0.08577442321511027,0.0521024789871876,0.01973977562614086,160
msd_ag_nsga2,155,0.6054983810170105,0.08591248991320785,0.05129463446625493,0.01961975202586705,160
msd_ag_nsga2,160,0.6074369472385767,0.08614717389017464,0.05058300769777439,0.019549811116355356,160
msd_ag_nsga2,165,0.6092450576256996,0.0863085963515096,0.04991388576246482,0.019443921658341995,160
msd_ag_nsga2,170,0.6106750239780829,0.08644411625957829,0.04927551429958005,0.01947794246826481,160
msd_ag_nsga2,175,0.612252752700087,0.08621365016843605,0.048537193367634054,0.019161705882460984,160
