scenario_id,algorithm,run_id,group_name,scenario_type,n,uav_count,HV,IGD+,runtime_sec,n_solutions,feasible_rate,C,A,G,AS,total_sorties,used_uavs,uav_load_std,uav_load_range,min_C,min_A,min_G,max_AS,mutation_cfm_attempts,mutation_cfm_accepts,mutation_bbr_attempts,mutation_bbr_accepts,mutation_bbr_overload_triggers,mutation_bbr_imbalance_triggers,ls_calls,ls_structure_moves,ls_time_moves,ls_boundary_balance_moves
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,1,mechanism_50_4,multi_hotspot_boundary,50,4,0.6031006397857882,0.02579439579326574,33.65111550013535,139,1.0,666.3730164728904,874220.2401767882,56.30581192355185,0.3780502142580426,3.0,3.0,0.0,0.0,611.6009434950005,483537.9735707951,45.175705778044865,0.45971591108710713,5198.0,5026.0,7976.0,1804.0,122.0,1884.0,868.0,6861.0,3187.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,2,mechanism_50_4,multi_hotspot_boundary,50,4,0.4887782398724403,0.0802232692217198,38.58442545798607,138,1.0,774.5751395664124,887615.2857446865,57.32214250308053,0.3588075663416241,4.0,4.0,26.54532600549689,61.30380446000001,712.6168058681516,433584.88106813055,44.684247793008616,0.4350258165039091,5278.0,5038.0,7888.0,2737.0,247.0,2773.0,868.0,6820.0,3300.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,3,mechanism_50_4,multi_hotspot_boundary,50,4,0.4924307178313385,0.08048996101812214,36.04705520905554,139,1.0,771.7767722735284,913528.355811119,56.18433552430408,0.3715812848520787,4.0,4.0,12.89086708220718,29.770182320000004,711.7374007111484,501100.2098900738,43.83506140506029,0.4415109107404716,5195.0,4918.0,7945.0,2289.0,172.0,2312.0,868.0,6794.0,3395.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,4,mechanism_50_4,multi_hotspot_boundary,50,4,0.4832605612253875,0.08242693708257955,35.01164933294058,140,1.0,804.8169802386517,966163.5238913997,51.31935620210275,0.37211720235548584,4.0,4.0,0.0,0.0,715.1670510113056,475065.3950739286,44.30921181952984,0.45067241119708773,5251.0,5049.0,7735.0,1642.0,88.0,1663.0,868.0,6907.0,3336.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,5,mechanism_50_4,multi_hotspot_boundary,50,4,0.45517102542261834,0.10362429884533474,35.02391537511721,140,1.0,757.3309390090677,952654.9347213596,56.76866884039503,0.3421169690657503,4.0,4.0,0.0,0.0,717.4448798011836,481160.1311885615,45.6443594934772,0.4176198568918671,5257.0,4947.0,7656.0,1916.0,62.0,1935.0,868.0,6853.0,3274.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,6,mechanism_50_4,multi_hotspot_boundary,50,4,0.4739877954946812,0.09012481411008953,35.501468082889915,140,1.0,767.4953124404469,983564.1019380522,54.90337881884159,0.398395672860963,4.0,4.0,0.0,0.0,707.3144648805613,498235.6438733505,45.46035650350638,0.42471421913745955,5229.0,4960.0,7798.0,2162.0,175.0,2186.0,868.0,6928.0,3328.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,7,mechanism_50_4,multi_hotspot_boundary,50,4,0.6284791046855989,0.019284879313595793,34.07371858297847,140,1.0,684.8973260991902,872520.6446272759,56.780277775030704,0.3049920835692977,3.0,3.0,0.0,0.0,607.8666086014324,461689.10128269624,44.85646890274034,0.43385658626885254,5236.0,5113.0,7734.0,2407.0,30.0,2523.0,868.0,6938.0,3317.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,8,mechanism_50_4,multi_hotspot_boundary,50,4,0.4851503585147176,0.08184261560693051,33.949104875093326,138,1.0,781.7916921795317,907974.1866785977,56.201231882768376,0.36235132868915465,4.0,4.0,12.89086708220718,29.770182320000004,700.3396332730879,470119.09674499824,44.98140516702969,0.43761432615404544,5132.0,4759.0,7855.0,1646.0,69.0,1661.0,868.0,6799.0,3425.0,0.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,9,mechanism_50_4,multi_hotspot_boundary,50,4,0.6418672252241548,0.019181398134923006,34.37959991698153,140,1.0,687.6117796484041,834113.0199572109,58.34336336635215,0.3171999821155523,3.0,3.0,0.0,0.0,580.9622892274481,429348.91906462016,43.45477791888407,0.4056180896411464,5203.0,5057.0,7688.0,2265.0,83.0,2394.0,868.0,6798.0,3363.0,9.0
mechanism_50_4_multi_hotspot_boundary_id01,msd_ag_nsga2,10,mechanism_50_4,multi_hotspot_boundary,50,4,0.4838370268691845,0.08611248775555165,34.93897604197264,140,1.0,781.3000632989924,923843.3698691246,57.44075863474561,0.3563335617851783,4.0,4.0,0.0,0.0,704.86938493372,467811.70033964585,46.018915220720885,0.4111871509339054,5155.0,4856.0,7638.0,1737.0,80.0,1757.0,868.0,6728.0,3271.0,0.0
mechanism_50_4_multi_hotspot_boundary_id02,msd_ag_nsga2,1,mechanism_50_4,multi_hotspot_boundary,50,4,0.5250327377898543,0.051308513722579545,42.61686670896597,137,1.0,874.4018059786697,828078.5741476682,63.68296387983168,0.31448724263866745,4.0,4.0,0.0,0.0,814.2774911897243,446339.648240796,47.858744427244886,0.4060459120103704,5243.0,5058.0,7823.0,3348.0,369.0,3466.0,868.0,5863.0,3223.0,0.0
mechanism_50_4_multi_hotspot_boundary_id02,msd_ag_nsga2,2,mechanism_50_4,multi_hotspot_boundary,50,4,0.53838802674187,0.04909073831985919,38.43353416584432,139,1.0,907.9814369918865,915811.9418934963,54.79002027182806,0.3775594069450579,4.0,4.0,0.0,0.0,806.6798868498021,499776.7619418953,44.27109405766098,0.439105357523624,5272.0,5149.0,7734.0,2711.0,153.0,2790.0,868.0,6082.0,2885.0,0.0
mechanism_50_4_multi_hotspot_boundary_id02,msd_ag_nsga2,3,mechanism_50_4,multi_hotspot_boundary,50,4,0.5588952813929485,0.033190296217661605,38.69630154198967,139,1.0,872.3683074982595,863466.5580624954,61.120428806287904,0.35690409882828156,4.0,4.0,0.0,0.0,804.5007872466458,508021.2307275231,43.995780014634995,0.412600557386683,5208.0,5028.0,7698.0,2685.0,230.0,2783.0,868.0,6848.0,3445.0,0.0
mechanism_50_4_multi_hotspot_boundary_id02,msd_ag_nsga2,4,mechanism_50_4,multi_hotspot_boundary,50,4,0.5680322285144134,0.0358986796400161,40.7823648750782,140,1.0,849.8081191730355,898298.5742953899,58.82777451544003,0.34330080539609875,4.0,4.0,0.0,0.0,790.3492921940971,443792.01683714206,44.014847471443176,0.41735606962993876,5140.0,4970.0,7800.0,3203.0,290.0,3312.0,868.0,6368.0,3395.0,0.0
