algorithm,scenario_id,group_name,scenario_type,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id01,mechanism_50_4,multi_hotspot_boundary,911619.7663415615,44172.63870776531,910751.2712448584,0.3561945865893127,0.02670971280051961,0.3605794475153894,747.7969021227116,46.3776724891384,769.6360423569877,56.156932547117265,1.83160050841525,56.53724038197344,0.523606269492591,0.06732148862379525,0.486964299193579,0.06691050568821125,0.030524881911160068,0.08116628831252633,1.0,0.0,1.0,0.9,2.7,0.0,868.0,0.0,868.0,6842.6,63.94091022186031,6836.5,3319.6,64.36800447427278,3322.5,0.43175352785558524,0.01624762979793063,0.4344412013863808,470165.3052096801,22693.89788201827,472592.2459094634,676.991946180304,51.07628360810234,706.0919249071407,44.842051000200215,0.7608769328460189,44.91893703488502,2060.5,349.33171914385326,2039.0,7791.3,114.07107433525819,7766.5,2108.8,366.75326856075867,2060.5,112.8,62.77069379893773,85.5,4972.3,101.39827414704848,4993.0,5213.4,43.5458379182213,5216.0,139.4,0.8,140.0,35.116102837515065,1.3502702353110854,34.97531268745661,3.7,0.45825756949558405,4.0,12.084416910000002,20.17511494751655,0.0,5.232706016991125,8.736081034410244,0.0,3.7,0.45825756949558405,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id02,mechanism_50_4,multi_hotspot_boundary,901695.4833555411,49781.81581600845,895559.2588327464,0.35058791606440587,0.026838608204457052,0.35010245211219015,880.4624222061727,15.714650845510082,878.28531035193,57.4049958595043,3.5884965205558474,57.320938562310346,0.5605723977843752,0.0221222796014521,0.563463754953681,0.036159619409796506,0.01203485116528185,0.03454448792883885,1.0,0.0,1.0,1.5,3.2015621187164243,0.0,868.0,0.0,868.0,6524.3,346.29439787556487,6601.5,3339.1,170.26182778297667,3414.0,0.42621842821753575,0.01178123329450384,0.42670186162071716,465782.4988946944,20500.198523713614,459704.1642353095,800.5135684607072,9.568674706214814,801.3430838356235,44.32671660886819,1.9648890305111475,44.142970764552075,2536.5,758.6388139292637,2698.0,7786.3,78.60413475129663,7775.0,2629.5,790.6829010418778,2786.5,283.9,134.62128360701365,264.0,5030.7,58.156770886974115,5035.5,5204.6,53.53914455797739,5202.0,139.1,0.8306623862918076,139.0,38.669017866579814,3.6498045421255414,39.216365416534245,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id03,mechanism_50_4,multi_hotspot_boundary,773494.916519817,89695.06104893713,768232.8268748672,0.5279249801636376,0.05673345232367021,0.5237290171083129,873.172287740938,26.443766535818362,881.8293014168414,43.83573570693894,1.9050161352493487,44.272725664884355,0.6056603482612193,0.038076783930175516,0.5923761638074553,0.05532400046636723,0.019286864427435456,0.06199228234117962,1.0,0.0,1.0,2.4,3.5270384177096794,0.0,868.0,0.0,868.0,6781.6,165.7239874007381,6821.0,3468.3,5.060632371551998,3470.0,0.6263654236646271,0.032313083452928784,0.6294095551487457,467935.83201675006,20432.374738719347,473173.9757734403,755.54480615893,7.945794738728925,755.0589165925888,30.474254261581923,3.0972672967579773,29.62070827846229,2872.9,447.6472830253748,2903.0,7774.9,74.96725952040664,7777.5,2933.3,444.47205761442416,2993.0,630.3,230.19341867221138,694.5,4989.2,72.89279799815617,4996.5,5190.2,49.19105609762815,5193.5,139.2,0.6000000000000001,139.0,38.80907187915873,3.658277967157199,40.19026735390071,4.0,0.0,4.0,23.953532466999995,19.42953286132945,22.95502431,10.372183813398667,8.413234520787928,9.939817098474677,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id04,mechanism_50_4,multi_hotspot_boundary,932733.0866464237,57554.309301791815,922766.8769229229,0.44362102330622377,0.032594053385872145,0.4330814891673691,838.6322489043141,19.112425552967764,839.2539437462844,42.507424130962455,2.1779319914755493,41.64003008143712,0.7084963547593502,0.02656437084432008,0.6962811336005272,0.0312845770528283,0.008577143349500767,0.03350512823706943,1.0,0.0,1.0,5.8,8.14616474176652,2.0,868.0,0.0,868.0,6641.8,149.85513004231788,6670.0,3347.4,115.37868087302783,3394.0,0.5330211289794831,0.016048011235377645,0.5355292298695188,439314.4854480346,21522.864394228916,434534.19276856876,757.5523135054668,5.325588972812664,759.0315020218312,32.49604894627349,1.197850149431026,33.03302967877515,3282.0,388.2895826570679,3329.0,7777.5,46.24337790430106,7765.0,3368.7,398.4329429151159,3411.5,203.9,77.27800463262493,190.0,5068.9,73.08002463053772,5067.0,5220.6,70.49567362611694,5223.0,138.8,1.7776388834631176,139.5,38.466154654393904,1.4650377287935927,38.76317947951611,4.0,0.0,4.0,33.344539695,24.375328893811457,34.74222212000001,14.43860922668431,10.554827023820781,15.043823469920833,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id05,mechanism_50_4,multi_hotspot_boundary,707012.8199897408,52278.49643674108,687629.8193322588,0.33872958951869026,0.0440048659341202,0.3349269278072348,881.2512652817893,31.73387287464964,889.5217624050747,55.27004808438464,2.758688387739955,53.71562444617824,0.6292471781225688,0.03480937597476851,0.6225489545543647,0.04532660886167146,0.01732898308593208,0.047165352687477465,1.0,0.0,1.0,0.4,0.66332495807108,0.0,868.0,0.0,868.0,6771.1,183.63357536137013,6852.0,3375.0,79.79724306014589,3396.0,0.41512809417940605,0.016288621022238794,0.4166912671357185,454841.1272489241,21702.54813911756,454649.138275148,782.3567848870134,31.067607909372565,789.4958253437737,45.726032449907834,1.3670659335093829,45.800807528105295,2797.5,662.0424835310797,2826.0,7788.1,72.84428598043912,7788.0,2882.3,680.7413679217681,2904.5,308.0,135.96175932959972,283.0,5018.8,84.67561632489014,5018.5,5226.4,59.65098490385553,5248.0,138.0,2.3664319132398464,139.0,38.024964049831034,2.547002960184687,38.653597875032574,4.0,0.0,4.0,29.061399888,19.651275150934,32.186958725,12.827484755094911,8.954893284953382,13.937361963205591,3.9,0.3,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id06,mechanism_50_4,multi_hotspot_boundary,982378.3398475482,63748.57233256786,995590.7099536699,0.2930987450086601,0.020052732861613642,0.2987096393778206,841.6976412016145,14.892701694501213,837.7142102427484,59.42105248260511,1.3872794417402174,59.42756585303577,0.7635927996078833,0.02180819966247622,0.7592051814969837,0.025465854579010815,0.009445027588360883,0.027349104554134033,1.0,0.0,1.0,0.2,0.6000000000000001,0.0,868.0,0.0,868.0,6857.3,77.01305084204884,6883.5,3267.9,101.85524041501252,3271.5,0.33190402176435824,0.011988921851366201,0.33105856343618284,442282.03516028833,19278.912107576616,439799.7028226179,778.3262472199813,7.6337669981184,778.1525743052699,52.583356362762856,0.7862279379760021,52.315064295642244,2409.1,733.3038183454386,2597.0,7789.0,61.51910272427581,7779.0,2450.8,741.9948517341613,2640.0,201.0,89.91885230584296,200.0,5026.4,57.482519081891326,5020.5,5203.4,80.29470717301359,5174.0,139.1,1.2206555615733703,139.5,38.024957862519656,2.8569794483642683,38.2756034580525,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id07,mechanism_50_4,multi_hotspot_boundary,910653.393861573,41955.43446509204,912989.8459561928,0.48597521974736385,0.04689289446790983,0.48153076381839616,875.6159111449995,20.725634933183514,874.5935444851101,45.97128674532492,3.0306680974227467,47.537723635981564,0.5756547464283649,0.01322909160898258,0.574685995359058,0.031551271786918446,0.004185264036352376,0.03136529095922072,1.0,0.0,1.0,0.5,1.02469507659596,0.0,868.0,0.0,868.0,6886.6,48.73643400988628,6890.0,3454.3,36.66074194557442,3471.0,0.5778533836190866,0.022245887606561963,0.5722206709466438,478239.033754043,25601.674119161915,466173.05748855084,767.6441581265644,4.010322179312752,768.2656565334853,31.091062707372885,2.2348443867759205,31.272635292820723,2760.0,575.9519077145244,2970.5,7817.7,71.29663386163473,7810.0,2836.9,594.0632037081576,3056.0,583.2,235.83672317940648,571.0,4961.5,48.85130499792201,4954.5,5178.5,40.06057912711697,5187.5,139.7,0.45825756949558405,140.0,38.337749437405726,3.749249574667092,38.52043385396246,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_multi_hotspot_boundary_id08,mechanism_50_4,multi_hotspot_boundary,956525.1069696095,61990.827460817716,962990.1341365289,0.5282233763144358,0.01287590882020246,0.5290516373481828,844.7584689613519,18.204770711700743,846.1637568880811,46.52781456060264,2.469886506808379,45.779026369713236,0.5544339223600756,0.016389741887935846,0.5553156242969024,0.032581110283527295,0.007823960814727,0.03319802400516356,1.0,0.0,1.0,2.3,5.21632054229799,0.0,868.0,0.0,868.0,6892.9,94.56368224641001,6923.0,3450.1,29.21455116889527,3466.5,0.5894064085003567,0.01264517687889044,0.5871857698882209,457954.6629192452,19322.426984488713,452809.9857937724,735.6950401522589,7.256686360556679,736.1645970550155,30.219697437961713,1.7112364526684893,30.222447644834926,2620.0,497.7850941922629,2865.0,7779.1,92.9316415436637,7766.0,2652.9,506.0012747019517,2889.0,628.6,168.48038461494562,622.0,4861.4,71.64663285877432,4863.5,5148.3,51.25046341253901,5167.0,139.3,1.1874342087037917,140.0,38.146715020760894,2.4327624406178416,38.266318416339345,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_remote_hotspot_id01,mechanism_50_4,remote_hotspot,868290.1283623303,99653.74852111851,865769.6560640684,0.2611351431173493,0.017796814928408875,0.25659935692893915,809.9168504468477,22.278178748403587,809.0669804768697,69.19066217875931,2.3124152439159356,69.46961244515046,0.6539031544529004,0.0280381078001126,0.6662845110714211,0.037092421877171385,0.016695901772638515,0.035544329856819004,1.0,0.0,1.0,5.6,5.295280917949491,3.5,868.0,0.0,868.0,6345.3,229.42059628551226,6392.5,3011.3,205.85968522272643,3060.5,0.2947223827777738,0.01477852303502873,0.29020526199065205,459341.657198466,18209.635378532348,455580.72665881924,746.1121152603303,8.81035482703375,743.1487307068745,63.76145102307531,0.7579539337755691,63.847770978657366,3091.4,593.5234115011807,3321.5,7803.3,80.46496131857641,7813.5,3312.1,618.6639556334278,3545.0,942.9,426.20005865790307,862.0,4854.6,103.15444731081642,4875.0,5194.4,54.743401428848024,5195.0,139.1,0.7000000000000001,139.0,46.01098455851898,10.395876942292311,48.42937450052705,4.0,0.0,4.0,0.8551739160000039,1.3062997341406082,0.0,0.3703011679549116,0.5656443773613127,0.0,4.0,0.0,4.0,10
msd_ag_nsga2,mechanism_50_4_remote_hotspot_id02,mechanism_50_4,remote_hotspot,1086820.6707420857,103324.39186789918,1071043.4561745638,0.1781732225069273,0.019674475703131862,0.17591005936614307,855.8330905748292,53.9574791470851,854.5174439598103,69.31919026616063,2.093472077296946,69.87771248609548,0.6476602802578977,0.027142969233899722,0.6493214636907774,0.0440724407106483,0.015619585226525077,0.04698589677763394,1.0,0.0,1.0,6.5,4.863126566315131,6.0,868.0,0.0,868.0,6311.5,365.9640009618432,6308.5,2984.5,162.86205819649953,3032.0,0.265042508180659,0.013983597287951337,0.26365567017583663,519026.2354915034,13603.944828853757,518339.2097828847,783.1516230598289,6.885437972619511,784.1986526275463,57.44827424350683,1.3596669987739536,57.91620959597866,4179.8,521.3965477446125,4170.5,7803.3,100.65391199551064,7796.5,4443.0,535.554852466113,4450.5,1161.2,373.7305981586201,1121.5,4991.7,83.87019732896782,4985.5,5193.0,74.39354810734598,5168.0,139.0,1.2649110640673518,139.5,48.72488711657934,7.8300302373665165,49.78647799999453,4.1,0.3,4.0,7.6529313430000006,22.958794028999996,0.0,3.3138164782280812,9.941449434684243,0.0,4.0,0.0,4.0,10
