algorithm,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
msd_ag_nsga2_wo_bbr,1100725.739514072,357349.04503560084,967846.9354119,0.3047078377057884,0.1348442464777667,0.2838304522480258,897.5544683485274,97.50246167801173,875.9380532597829,60.16359071057419,10.871216368468597,62.78163054809235,0.6302305551863627,0.0845901716504612,0.6339451673512212,0.0419760777744813,0.0182067973053867,0.0398064206089058,1.0,0.0,1.0,0.0,0.0,0.0,868.0,0.0,868.0,6648.85,259.78229346897376,6696.0,3101.5375,335.67796858559245,3173.0,0.3848916191185494,0.1257250568792961,0.3421517180364171,481217.6459562963,43292.560265730885,474796.5185739072,784.7082084936028,53.31382995363562,786.238529141441,49.1947406614983,12.21284675702921,52.23196800951536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4983.675,93.11126073144966,5000.5,5195.2,63.41251848018654,5198.5,138.70625,1.8594248942885536,139.0,43.56631090962619,12.368254469269251,39.599377353908494,4.28125,0.5934209614599066,4.0,33.4072121181875,44.699497481839366,0.0,14.46815741319534,19.336731017133737,0.0,3.95625,0.2045383521494196,4.0,160
msd_ag_nsga2,1074993.958043784,339475.27247670677,948218.5574597216,0.3008052881694802,0.137537638274253,0.2728135982042948,898.775541935603,97.0095297774221,877.893943986985,60.712466787337306,10.869156442967252,63.40878685712271,0.6290938991975963,0.0870845577838135,0.6373972182457754,0.0416568673635374,0.0182373763482606,0.0385993086472746,1.0,0.0,1.0,4.125,8.190505173675186,1.0,868.0,0.0,868.0,6653.15,248.7435476550095,6725.0,3120.8125,325.73407841942173,3192.0,0.3850663459148882,0.1254884237108503,0.3439195068423872,479556.03525210946,42665.21134490359,472151.5887613685,787.0703347410291,55.422043298826914,787.55434557874,48.976353257372054,12.09065321187155,51.45883266604047,3395.88125,1165.7959103755843,3328.0,7791.6,71.95330082768962,7792.5,3663.40625,1367.239638362982,3470.5,982.9625,861.8190492172646,699.0,4989.6875,103.38618062270218,4998.5,5198.5125,64.62420091382175,5196.0,138.675,1.485555451674558,139.0,49.32921144793363,13.750081880599993,43.876601603929885,4.25,0.5590169943749475,4.0,31.502824760625003,43.84567743378909,0.0,13.720589219639056,19.110211149155475,0.0,3.9625,0.1899835519196333,4.0,160
msd_ag_nsga2_wo_gtw_ls,1077217.712630739,333369.07848487754,954016.12811445,0.297864905107691,0.1352758901250164,0.2669139067767598,896.8315923168475,96.8508889580295,878.1257248063716,60.79238706191546,10.962214724087252,63.895036093089445,0.6244973355413851,0.0871383363414015,0.6388489514687836,0.0453053412677687,0.0197810030473534,0.0412934100164597,1.0,0.0,1.0,2.7625,6.513915393217815,0.0,868.0,0.0,868.0,6671.4,240.0269047419476,6742.5,0.0,0.0,0.0,0.3831918377033964,0.1236434936583083,0.3483832669284766,479370.6262935625,44601.44535085321,471154.6886953582,785.2956648144395,52.45736878439573,787.346094792209,49.1674816481927,11.98831378734056,51.687663303603514,3424.5375,1156.8091668869804,3244.0,7806.05,77.55665670978863,7806.0,3686.6625,1358.419480901886,3368.5,1023.34375,893.4193307657595,778.0,4992.2125,96.59861460574888,5000.0,5203.525,67.57217900142041,5211.5,138.2,2.1558061137310096,139.0,41.194251911413446,13.055283129096743,36.262709770468064,4.25,0.6020797289396148,4.0,31.7927179656875,44.23006884161007,0.0,13.738075382116255,19.009992242640095,0.0,3.94375,0.2304038573895845,4.0,160
msd_ag_nsga2_wo_dual_init,1195543.1175550316,443306.09614028217,1028586.7619816916,0.274506194091428,0.1136266139872873,0.2502007029106357,1085.3373891268154,125.78691491893451,1065.4251596394536,61.28010350962397,10.260221111289926,64.21865272468318,0.3905692101427799,0.1506362634418815,0.4308724654232373,0.2095192221028468,0.1256455211191057,0.1714783465724763,1.0,0.0,1.0,7.975,11.034009923867206,5.0,852.38125,22.73072586692955,868.0,6042.00625,657.8570180601082,6172.0,3110.9625,329.0132764703424,3224.0,0.3436170354307049,0.0936278024941754,0.311048526982288,581262.9317830348,134552.4797888899,538369.8259407496,988.089173275991,90.92443422399803,971.970059688565,50.90388394846259,10.510308300142125,51.06795729771965,3832.73125,1031.7747072512668,3880.5,7808.15,77.20048574976714,7814.0,3728.1875,1096.227788757314,3791.5,1911.625,1027.747340971992,1622.0,5104.54375,91.74678787803693,5111.0,5206.24375,62.70663310956426,5204.5,112.8375,30.325296268132323,129.0,67.21872803329316,15.925822521977508,63.53624393744394,4.75625,0.8496092852011446,5.0,51.8727701033125,53.5087020977429,60.12614073500001,22.43500113384257,23.01019435673916,25.40832206360827,4.0,0.0,4.0,160
msd_ag_nsga2_wo_decode,3126618.1847500117,369019.75565503514,2996878.5177259096,0.2690611537840278,0.0633085926926784,0.2695152570102421,1124.6803072599737,104.9767739802353,1108.8824825613194,58.16046256360944,9.921588306181432,58.86396125520318,0.1668345114095942,0.1228910671792577,0.20152286825046,0.5675756182459496,0.1713900485126087,0.5497940346669086,1.0,0.0,1.0,1.93125,6.066425919559226,0.0,868.0,0.0,868.0,6871.0125,140.8196092302134,6935.0,3401.9375,107.51736414993626,3452.0,0.3372671838079829,0.0605413075118687,0.3260090595768599,2401990.701371459,103203.33652541316,2395722.234595288,1017.2189577340948,89.85889761189163,1019.2973940186424,50.047004569528646,9.965674555741169,51.02165179280246,2261.6875,1041.744085581363,2258.0,7825.71875,78.40082683516482,7833.0,2586.38125,1296.4020348250142,2499.0,0.0,0.0,0.0,5049.8375,92.49168121377188,5057.0,5210.04375,64.09186247830141,5213.5,134.34375,7.7484247391002,137.0,105.99310877783428,43.42116525545258,96.73091433302034,7.49375,0.8660028507458852,8.0,84.22427496825,52.082967896905025,72.70411567,32.94794154108856,20.248569538451157,27.791356788737012,3.75,0.4330127018922193,4.0,160
