algorithm,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
msd_ag_nsga2,1152643.9768569162,534911.4923484854,979273.7060971973,0.3079070700342574,0.1528449370572607,0.2763225155353138,1021.308583689942,320.5557872864947,962.926933841058,63.38165464783733,25.6559312537903,62.21703042719818,0.6205589523123118,0.0701516686361741,0.6149195316131539,0.0456325877731348,0.017697327349471,0.0447647977546012,1.0,0.0,1.0,3.284375,7.817472792365509,0.0,880.0,206.82359633272023,868.0,6828.3546875,1609.6122448851704,6796.5,3196.6859375,1018.9816208118016,3268.5,0.4067581586973728,0.1391014068638904,0.3774624811103442,511576.2161987534,202790.86617194736,481893.1203586858,884.040790138215,280.2803112319928,842.769248770097,50.61427909298955,23.269094150049877,46.86770489549664,3888.371875,2133.417478298372,3636.5,7904.546875,1898.757171066836,7791.0,4190.9734375,2336.4696761849777,3821.0,1060.06875,1053.4611355068764,644.0,5041.0703125,1319.9486163270342,4995.5,5275.2671875,1264.67039635762,5196.5,139.021875,14.32522326124012,139.0,72.59631647604256,57.30627342431102,52.01165737491101,4.9984375,1.6616061683183985,5.0,41.25365456332812,49.70415785905743,12.495324205000005,16.53824849317224,19.72764328767639,4.88691311739252,4.7046875,1.4985336256967174,4.0,640
nsga3,1346511.145088389,957354.4836717816,1002024.0209803078,0.3102157902129488,0.1428995567211845,0.2832997803243907,1191.2954215965617,482.9769358031965,1086.6247058545364,62.76277218713549,24.9856315139054,61.00297855840595,0.4448119166292328,0.1502469416865525,0.4769814629861745,0.1634801521375228,0.1651776210943249,0.1034745850564987,1.0,0.0,1.0,,,,,,,,,,,,,0.3805712348292532,0.1374383738925433,0.3553253517648497,853197.3410319941,761870.6549868837,593000.7448677698,1108.815051455304,474.41408218734693,1000.9201848448912,53.03084055905786,24.33477252812491,50.27693154894456,,,,,,,,,,,,,,,,,,,136.2296875,14.347649847704808,138.0,30.79394662500308,24.850323028755884,21.24722818750888,5.4890625,2.270711424002123,5.0,48.49075475284376,63.19230528813628,0.0,19.888792850881753,25.648431423450155,0.0,4.7421875,1.4866388986044157,4.0,640
nsga2,1432622.1906215854,964717.0058441322,1087134.880816826,0.2988798562642434,0.134630867243149,0.2667348929008414,1247.6865822620427,495.33058214790134,1146.1154958406091,62.969686111836566,25.20379287693443,62.02677479900147,0.3983004047371462,0.1604719926419074,0.4240284873053807,0.2120471668586707,0.1812189301197705,0.1539202531541471,1.0,0.0,1.0,,,,,,,,,,,,,0.3906376427644364,0.1196285116714199,0.3719913652925668,840019.3155622098,752655.6650078985,597171.4870047035,1145.8782259351717,480.43619146103,1056.1972852441072,51.2061614405178,23.72335122039269,49.150038167611974,,,,,,,,,,,,,,,,,,,138.8625,14.122339351183994,139.0,31.316975689444007,27.31088905088587,21.01649935450405,5.66875,2.3196763648190237,5.0,58.064524353656246,64.38521373352944,20.289553845,23.94266266960137,26.32546295616133,8.892400298248528,4.7453125,1.4819149021936953,4.0,640
spea2,1439602.3043880963,1001734.9582138512,1084943.555096222,0.3016245539346808,0.1344892653828972,0.2677507194632679,1260.4144410061167,498.1130559880063,1154.9950898430902,62.90434014656715,25.04825608135217,62.58931912481559,0.3777037491229868,0.1551909649882812,0.4010616670253707,0.225256002091309,0.1820496481139507,0.1650985925766551,1.0,0.0,1.0,,,,,,,,,,,,,0.3813262979620573,0.1194964449126656,0.3559194891882172,894209.6349722545,790382.3822894588,637332.4329601756,1176.69671155038,485.5553387623196,1074.3171258012103,52.68370256707042,23.87555698696024,51.04534873464915,,,,,,,,,,,,,,,,,,,140.0,14.142135623730953,140.0,30.26172726816003,23.80963449183701,21.147449270472865,5.7078125,2.3286130990020113,5.0,60.99666569087501,64.49936735355949,51.323380860000015,25.288563255254285,26.404159790267254,20.009702710669295,4.75,1.479019945774904,4.5,640
moead,1464767.1797367467,798980.2482772302,1335008.6696377536,0.1814479476998673,0.0861034024305192,0.1692651297222446,1671.5200458444676,533.9462296731419,1578.5517979304072,79.2204793630198,28.03155777030055,76.79138857118892,0.0322022290652392,0.0399740203340671,0.0111788178040537,0.7417845794308789,0.1744212741461729,0.7463086505278282,1.0,0.0,1.0,,,,,,,,,,,,,0.187709885170571,0.0893981023112308,0.1752146439498373,1450300.4510758626,799724.1482728812,1318687.2079055265,1657.240518086953,531.7652330977779,1569.6497085526755,78.67300920859634,28.047332780433315,76.47681280516578,,,,,,,,,,,,,,,,,,,21.859375,12.663144341330671,21.0,32.540807909311845,14.737310825842163,30.282685291487724,7.9546875,2.7708544309190533,8.0,86.34610602248438,39.22591130999855,85.87903714500001,34.27704814950566,14.95401224229795,35.37369385417203,4.75,1.479019945774904,4.5,640
