scope,metric,direction,n_blocks,target_algorithm,other_algorithm,friedman_stat,friedman_pvalue,friedman_significant,wilcoxon_stat,wilcoxon_pvalue,target_mean,other_mean,target_median,other_median,target_avg_rank,other_avg_rank,A12_target_vs_other,holm_pvalue,holm_significant
overall,HV,higher,160,msd_ag_nsga2,msd_ag_nsga2_wo_dual_init,509.67052203813694,5.425162446184281e-109,True,1.0,5.339198943584314e-28,0.6290938991975963,0.3905692101427799,0.6373972182457754,0.4308724654232373,1.91875,3.996875,0.9339453125,2.095813848150523e-27,True
overall,HV,higher,160,msd_ag_nsga2,msd_ag_nsga2_wo_decode,509.67052203813694,5.425162446184281e-109,True,0.0,5.239534620376308e-28,0.6290938991975963,0.1668345114095942,0.6373972182457754,0.20152286825046006,1.91875,4.990625,1.0,2.095813848150523e-27,True
overall,HV,higher,160,msd_ag_nsga2,msd_ag_nsga2_wo_bbr,509.67052203813694,5.425162446184281e-109,True,6421.0,0.9741775168535959,0.6290938991975963,0.6302305551863627,0.6373972182457754,0.6339451673512212,1.91875,1.95,0.4943359375,0.9741775168535959,False
overall,HV,higher,160,msd_ag_nsga2,msd_ag_nsga2_wo_gtw_ls,509.67052203813694,5.425162446184281e-109,True,5305.0,0.053157178080480254,0.6290938991975963,0.6244973355413851,0.6373972182457754,0.6388489514687836,1.91875,2.14375,0.5175390625,0.10631435616096051,False
overall,IGD+,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_dual_init,499.6550000000002,7.955554804574748e-107,True,9.0,6.207235139794722e-28,0.04165686736353743,0.20951922210284685,0.03859930864727465,0.17147834657247635,1.93125,3.9625,0.985546875,2.095813848150523e-27,True
overall,IGD+,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_decode,499.6550000000002,7.955554804574748e-107,True,0.0,5.239534620376308e-28,0.04165686736353743,0.5675756182459496,0.03859930864727465,0.5497940346669086,1.93125,4.9875,1.0,2.095813848150523e-27,True
overall,IGD+,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_bbr,499.6550000000002,7.955554804574748e-107,True,6342.0,0.8674033933787403,0.04165686736353743,0.04197607777448131,0.03859930864727465,0.03980642060890581,1.93125,1.9625,0.505,0.8674033933787403,False
overall,IGD+,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_gtw_ls,499.6550000000002,7.955554804574748e-107,True,4854.0,0.006892632429074562,0.04165686736353743,0.04530534126776879,0.03859930864727465,0.04129341001645974,1.93125,2.15625,0.55015625,0.013785264858149123,True
overall,max_AS,higher,160,msd_ag_nsga2,msd_ag_nsga2_wo_dual_init,105.19500000000016,7.697337355470422e-22,True,1387.0,7.399730034132058e-18,0.38506634591488825,0.34361703543070493,0.34391950684238726,0.311048526982288,2.5125,3.8875,0.595078125,2.959892013652823e-17,True
overall,max_AS,higher,160,msd_ag_nsga2,msd_ag_nsga2_wo_decode,105.19500000000016,7.697337355470422e-22,True,3030.0,6.268073244124965e-09,0.38506634591488825,0.33726718380798293,0.34391950684238726,0.3260090595768599,2.5125,3.46875,0.570078125,1.8804219732374896e-08,True
overall,max_AS,higher,160,msd_ag_nsga2,msd_ag_nsga2_wo_bbr,105.19500000000016,7.697337355470422e-22,True,6196.0,0.6776365622493499,0.38506634591488825,0.3848916191185494,0.34391950684238726,0.34215171803641714,2.5125,2.4625,0.4966796875,0.9152163849356441,False
overall,max_AS,higher,160,msd_ag_nsga2,msd_ag_nsga2_wo_gtw_ls,105.19500000000016,7.697337355470422e-22,True,6004.0,0.45760819246782203,0.38506634591488825,0.3831918377033964,0.34391950684238726,0.3483832669284766,2.5125,2.66875,0.507265625,0.9152163849356441,False
overall,min_G,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_dual_init,51.95000000000027,1.4130654762379404e-10,True,2552.0,3.5010852051234505e-11,48.976353257372054,50.90388394846259,51.45883266604047,51.067957297719644,2.6,3.70625,0.54953125,1.4004340820493802e-10,True
overall,min_G,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_decode,51.95000000000027,1.4130654762379404e-10,True,4394.0,0.0004909130220925914,48.976353257372054,50.047004569528646,51.45883266604047,51.02165179280246,2.6,3.18125,0.52234375,0.001472739066277774,True
overall,min_G,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_bbr,51.95000000000027,1.4130654762379404e-10,True,5455.0,0.09332865845105526,48.976353257372054,49.1947406614983,51.45883266604047,52.231968009515356,2.6,2.78125,0.5049609375,0.18665731690211051,False
overall,min_G,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_gtw_ls,51.95000000000027,1.4130654762379404e-10,True,5998.0,0.4514421326008107,48.976353257372054,49.1674816481927,51.45883266604047,51.687663303603514,2.6,2.73125,0.5047265625,0.4514421326008107,False
overall,uav_load_std,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_dual_init,90.44799376704334,1.0576335016588996e-18,True,2916.5,3.9469931628485416e-06,13.720589219639056,22.43500113384257,0.0,25.408322063608274,2.59375,3.259375,0.59439453125,1.1840979488545626e-05,True
overall,uav_load_std,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_decode,90.44799376704334,1.0576335016588996e-18,True,2401.0,5.941751958078516e-12,13.720589219639056,32.94794154108856,0.0,27.791356788737012,2.59375,3.81875,0.7789453125,2.3767007832314063e-11,True
overall,uav_load_std,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_bbr,90.44799376704334,1.0576335016588996e-18,True,4375.0,0.553969435398785,13.720589219639056,14.468157413195339,0.0,0.0,2.59375,2.715625,0.5170703125,1.0,False
overall,uav_load_std,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_gtw_ls,90.44799376704334,1.0576335016588996e-18,True,4805.0,0.9781905979590176,13.720589219639056,13.738075382116255,0.0,0.0,2.59375,2.6125,0.50546875,1.0,False
overall,total_sorties,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_dual_init,506.79756895745714,2.2689305975537684e-108,True,355.5,1.4904394040616829e-13,4.25,4.75625,4.0,5.0,2.303125,3.075,0.66298828125,4.4713182121850483e-13,True
overall,total_sorties,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_decode,506.79756895745714,2.2689305975537684e-108,True,0.0,2.389337974407721e-29,4.25,7.49375,4.0,8.0,2.303125,4.971875,0.99609375,9.557351897630884e-29,True
overall,total_sorties,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_bbr,506.79756895745714,2.2689305975537684e-108,True,1480.0,0.31731050786291415,4.25,4.28125,4.0,4.0,2.303125,2.359375,0.5076171875,0.6346210157258283,False
overall,total_sorties,lower,160,msd_ag_nsga2,msd_ag_nsga2_wo_gtw_ls,506.79756895745714,2.2689305975537684e-108,True,2051.0,1.0,4.25,4.25,4.0,4.0,2.303125,2.290625,0.496875,1.0,False
