algorithm,group_name,scenario_type,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,count
msd_ag_nsga2,mechanism_50_4_single_uav,multi_hotspot_boundary,0.0,0.0,0.0,inf,nan,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8104.8,84.68565403892208,8102.5,0.0,0.0,0.0,8104.8,84.68565403892208,8102.5,4435.05,287.3152841392187,4484.0,5402.65,81.33742988317248,5405.5,1.0,0.0,1.0,20.624416493732134,0.6276276286527808,20.562553770956583,80
msd_ag_nsga2,mechanism_50_4_single_uav,remote_hotspot,0.0,0.0,0.0,inf,nan,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8137.5125,138.88907388182125,8115.5,0.0,0.0,0.0,8137.5125,138.88907388182125,8115.5,4192.975,266.71431228001245,4194.5,5420.4125,103.4777383969615,5396.0,1.0,0.0,1.0,21.190218804212055,1.2242632487370468,21.552917271037586,80
