algorithm,group_name,scenario_type,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
msd_ag_nsga2,main_30_3,multi_hotspot_boundary,93028.05398847703,17042.2150884349,87127.23441720985,1.0,0.0,1.0,516.1156395659533,33.03523626113702,519.537050473333,0.0,0.0,0.0,0.8458761976095058,0.1095633208453019,0.8770407279475706,0.03259524599934641,0.02352129366891429,0.025176341294844775,1.0,0.0,1.0,91.25,162.80736316272677,22.0,600.0,0.0,600.0,575.1125,342.6614580657562,492.0,0.0,0.0,0.0,1.0,0.0,1.0,86708.12031450737,14645.938835413162,82175.20411317516,506.9174518510778,32.06491616933394,509.3971082824647,0.0,0.0,0.0,1762.5375,763.8394782896142,1752.5,5539.825,115.95513949368524,5530.5,2242.0375,1240.206781586744,2087.5,2.3125,3.1208722739003596,1.0,1123.175,575.4780138067831,1032.0,3699.0,85.12637664085086,3684.0,11.525,4.384560981443866,10.5,14.178577294270507,1.402037178362478,14.25313591689337,3.0,0.0,3.0,41.720294951125,21.650211216557697,39.69146718999999,18.222526027539388,9.949548220445775,16.269738210583082,3.0,0.0,3.0,80
msd_ag_nsga2,main_30_3,remote_hotspot,137823.65976725784,18017.841677803444,136447.34150155704,1.0,0.0,1.0,579.760489250152,40.06315860414008,580.6846501772334,0.0,0.0,0.0,0.7048378222732989,0.2525142071038736,0.8512072371415245,0.05918824878272315,0.05908284220905329,0.03710257641257479,1.0,0.0,1.0,36.35,62.964692487139175,8.0,600.0,0.0,600.0,733.85,698.5556724413595,459.0,0.0,0.0,0.0,1.0,0.0,1.0,126010.87649867377,16901.83834648129,129395.27762284238,562.8262077503643,58.39254993625249,578.9499402060349,0.0,0.0,0.0,2437.5375,652.8385892345443,2406.0,5505.325,101.73393915011845,5509.5,3214.375,839.5363806143246,3043.0,69.025,89.88005549063708,37.5,2098.325,490.92445383684037,2200.0,3676.1375,70.13232916244833,3669.5,12.95,7.600822323933115,10.0,16.385400734987343,1.3043861465842095,16.388325875042938,2.9875,0.11110243021644485,3.0,55.820062611875,29.704622428280512,50.398544754999996,23.80045564203592,12.892050461025363,21.465895037403143,2.9875,0.11110243021644485,3.0,80
msd_ag_nsga2,main_50_5,multi_hotspot_boundary,163961.88758529216,23928.30415989619,157171.99152831786,1.0,0.0,1.0,834.8627041980326,31.97147221901744,835.0006622166059,0.0,0.0,0.0,0.6284887390286353,0.12814392256483093,0.5947432328138123,0.10585684642799684,0.06504453557591536,0.08829620954391383,1.0,0.0,1.0,58.55,65.97857606829659,35.5,868.0,0.0,868.0,1770.8,932.0580775895887,1599.5,0.0,0.0,0.0,1.0,0.0,1.0,146043.07168010445,13764.337821844874,141413.94025986732,809.1604922931658,42.14609422183033,818.4625890436794,0.0,0.0,0.0,4828.7,873.8982549473365,5052.5,7941.2,97.15482489305408,7941.5,5984.125,889.2871214489727,6160.0,7.2875,8.693666875950562,6.0,1928.475,687.6881919700236,1981.5,5283.625,68.18841085551122,5281.0,17.4875,6.318610903513525,17.0,33.91803796248278,2.113210447303877,34.10686356248334,4.95,0.21794494717703367,5.0,63.909571627375,19.901000833039166,64.60288926000001,23.117352211790138,6.782632278544814,23.29758905964239,4.95,0.21794494717703367,5.0,80
msd_ag_nsga2,main_50_5,remote_hotspot,222453.36619424337,31660.071045833665,222060.14747171797,1.0,0.0,1.0,881.1616458446078,37.036558088600216,887.2640239827446,0.0,0.0,0.0,0.5425429874294524,0.09135693384409302,0.5473768707465738,0.09570873661539163,0.0479233614759456,0.08991359776298291,1.0,0.0,1.0,80.9625,84.42917797627784,54.0,868.0,0.0,868.0,1678.4375,1005.7092999936661,1476.5,0.0,0.0,0.0,1.0,0.0,1.0,188178.59015918025,17837.879175491234,186616.9697442375,839.4707245421235,49.37769444399735,853.5672532128649,0.0,0.0,0.0,5575.2125,617.4284714392024,5664.5,7899.3,109.50438347390482,7915.5,6728.1375,645.1544145348073,6863.0,214.125,146.84178347800056,170.0,2891.575,572.6306570338336,2947.0,5276.65,67.64449349355792,5283.0,21.9625,6.995433778544402,21.0,40.0801219410816,2.797203984812435,39.95836574945133,4.9125,0.28256636388643286,5.0,96.22064570487501,35.84980516730651,102.586378585,34.77808685145663,12.508975852075302,37.702579676899845,4.9125,0.28256636388643286,5.0,80
msd_ag_nsga2,main_80_7,multi_hotspot_boundary,275000.3617715179,29405.673366091094,272315.921624502,1.0,0.0,1.0,1171.2901864682403,32.43114935034941,1175.1953358248475,0.0,0.0,0.0,0.7657867131647939,0.12650566685224468,0.7693822539334929,0.12675718592400806,0.10217817113753672,0.10358264329023745,1.0,0.0,1.0,64.4125,90.89220177633503,32.5,1184.0,0.0,1184.0,2794.275,1370.6511862523594,2795.0,0.0,0.0,0.0,1.0,0.0,1.0,250222.97815752876,21431.962014670513,251162.08465574897,1150.2834267724666,31.134368415019303,1150.2267518557614,0.0,0.0,0.0,8255.8875,1253.4907857035687,8534.0,10814.7875,98.97445298535375,10812.5,9195.575,1360.2604876916039,9488.0,16.725,13.991939643952158,13.0,3244.325,1094.7613070322682,3279.0,7203.975,90.16789547837966,7205.5,19.8625,6.78922629980766,20.0,66.79556295622315,4.5208848077639905,67.33513385406695,7.0,0.0,7.0,82.231984545125,20.591662964073635,84.06765131,26.408414706081807,6.84481472741556,26.928727992318386,7.0,0.0,7.0,80
msd_ag_nsga2,main_80_7,remote_hotspot,389118.6810117272,58680.48105467726,383443.99665436364,1.0,0.0,1.0,1281.62503168807,50.7525050097795,1284.6940979602164,0.0,0.0,0.0,0.6948591067427458,0.10248865649212349,0.7030179656973481,0.10654293985460492,0.05149505358419795,0.10421091677504751,1.0,0.0,1.0,115.8875,107.98275252904976,85.0,1184.0,0.0,1184.0,2645.3,1595.5585260340656,2389.5,0.0,0.0,0.0,1.0,0.0,1.0,344844.55310278863,35552.27741639226,349946.99816464353,1249.3890400295343,50.7474159881259,1250.7024744361397,0.0,0.0,0.0,7953.3625,1201.0728250583934,8225.5,10783.475,87.54883994091527,10790.5,9985.2125,679.9577504108252,10153.5,417.575,342.9092728040465,319.5,4321.875,887.6686653109932,4576.5,7189.7625,92.833889791121,7191.5,22.7875,7.8972997758727645,22.0,81.20217979691806,11.242102835089135,80.01246306300163,6.975,0.15612494995995993,7.0,106.53140288987501,28.307925228390573,109.07013363000002,36.105921619937575,9.894424747223463,36.60169433001255,6.975,0.15612494995995993,7.0,80
msd_ag_nsga2,mechanism_50_4,multi_hotspot_boundary,226039.17808140698,25285.761795959435,224997.4113608743,1.0,0.0,1.0,730.728184277079,25.008560067723927,732.0472637155831,0.0,0.0,0.0,0.7775891035665801,0.11823534917645696,0.8111738923655172,0.08233657363328464,0.04589831243193079,0.07247046832885855,1.0,0.0,1.0,108.575,97.49445817583685,94.5,868.0,0.0,868.0,1133.2625,887.6093558507312,815.5,0.0,0.0,0.0,1.0,0.0,1.0,210047.8515301961,22582.715369072463,206223.38132618353,718.4684880352982,30.266321570058487,720.2331115680638,0.0,0.0,0.0,3655.3,1015.8294935667108,3721.0,7969.65,117.85808203089002,7965.0,4546.525,1386.113847912573,4579.0,12.3875,8.380772264535052,10.0,2920.125,599.5972476379458,2913.0,5313.975,105.60172524632351,5309.5,14.475,6.893792497602463,13.0,30.84437428590609,2.7037932418735733,30.703433895949274,4.0,0.0,4.0,62.24808089999999,22.567067447915093,58.55578232500001,24.240069520104413,8.290035260401279,23.476110368091312,4.0,0.0,4.0,80
msd_ag_nsga2,mechanism_50_4,remote_hotspot,289666.15905681363,36536.89789569036,287726.82497735345,1.0,0.0,1.0,788.0713604187179,38.230244823805414,797.108186245605,0.0,0.0,0.0,0.7076566810038333,0.17795254623286572,0.7635455731005774,0.13003252690467687,0.14097116627949616,0.08425774797401961,1.0,0.0,1.0,133.525,120.29370047928528,96.5,868.0,0.0,868.0,845.625,527.9783701772261,786.5,0.0,0.0,0.0,1.0,0.0,1.0,268805.39766916103,33358.54228020058,265030.4135083415,774.3441288005166,36.8269849832823,780.0770221331951,0.0,0.0,0.0,4224.0375,1013.8754909227022,4394.0,7930.925,106.62583821475918,7923.5,4962.375,1399.6602567676914,5192.0,172.5125,177.9174663818873,114.0,3799.6125,546.1711154425415,3749.0,5305.975,78.45252943659625,5311.0,15.4125,8.456792757895867,15.0,26.45303185778903,4.779379121410962,24.9594780204352,3.9875,0.11110243021644485,4.0,66.1268241405,42.58136369700288,63.895542405,25.378990577511075,15.964629770928774,24.60122948611302,3.9875,0.11110243021644485,4.0,80
