variant,algorithm,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
no_gtw,msd_ag_nsga2,224636.418432092,94099.39436192332,224438.43087547304,1.0,0.0,1.0,847.9519052138567,251.01496546257303,814.6478845714778,0.0,0.0,0.0,0.7084546688523556,0.1709385192287096,0.7443114464272954,0.092377288017754,0.081710384622052,0.0770337759822964,1.0,0.0,1.0,86.1890625,107.96323248157722,49.5,880.0,206.82359633272023,868.0,1522.0828125,1278.1784185725364,1168.0,0.0,0.0,0.0,1.0,0.0,1.0,202607.6798890175,82156.44972431315,195822.4083837808,826.3574950093185,246.1342937665596,783.8946641775566,0.0,0.0,0.0,4836.571875,2401.969066169251,4739.5,8048.0609375,1872.0104068818955,7933.0,5857.2953125,2765.307013692698,5812.5,113.99375,203.25848681159047,24.0,2790.9359375,1204.981235832532,2714.5,5368.6375,1245.755514926083,5293.5,17.0578125,8.024655457703075,16.0,38.73216085370732,22.70581847907445,33.06368958344683,4.7265625,1.4817369650493808,4.0,71.85110842134375,35.06677304031335,68.00072072500001,26.506477144557117,12.198571349948208,25.291326551830515,4.7265625,1.4817369650493808,4.0,640
full_model,msd_ag_nsga2,1158107.213122658,534857.0327337116,1002762.0534455252,0.3086744282586953,0.1531502834828605,0.2722973726242967,1020.2247793239218,318.5331875912869,966.6557793904624,63.31973166037144,25.567262398636355,61.58085239890513,0.6285017532161579,0.0719717936782812,0.6227004073294475,0.041020542859249,0.0204866932807773,0.0370729143656545,1.0,0.0,1.0,3.478125,9.584467720451409,0.0,880.0,206.82359633272023,868.0,6818.98125,1622.490715388978,6787.0,3198.4328125,1019.1758320995648,3274.5,0.4063547116302565,0.1380102651394224,0.3724902020921314,512542.5294229149,204640.16554181647,483621.6429178321,882.2917914980098,281.9422568920958,835.3270247605044,50.48814830442105,23.150478020198747,46.77592761653533,3890.103125,2137.836625976184,3646.5,7916.8828125,1898.4724287778292,7815.0,4189.6734375,2340.607130355164,3830.0,1072.0640625,1090.798049575858,655.0,5048.121875,1315.5470110457795,4999.0,5278.9,1263.5695430010965,5205.5,138.921875,14.31105853822054,139.0,66.3702183766989,48.160908007526736,50.62224627099931,4.9859375,1.6587238305678706,5.0,40.68977561104687,47.86876522202367,14.518301645000008,16.345391038072115,19.2470905738599,6.102198887263931,4.690625,1.511799295334867,4.0,640
multi_uav_one_sortie,msd_ag_nsga2,783964.0884354019,278421.91657522094,727275.9042255844,0.1819484342206934,0.1096004290941191,0.1654193045196171,993.197811222308,308.17118496509346,927.874570445938,75.59897632202777,28.56382051748558,74.0664821538368,0.6241798394928685,0.0837200084245224,0.6202562567442296,0.0577723872216697,0.0316798232997516,0.0517430156535401,1.0,0.0,1.0,8.878125,23.828111475405997,1.0,878.6640625,205.54909227115573,868.0,6630.9765625,1595.17224415208,6640.0,2224.8203125,1355.4693169802488,2174.5,0.2338026350324925,0.1315857994147494,0.2230370787539708,467090.8793955745,187781.72077534872,442027.60396178265,870.3194395059465,280.5258025586085,820.9245435487027,69.1245989973099,28.86377128554333,66.81122494280592,5317.5421875,1712.334032496351,5394.5,7942.0328125,1897.2444690882191,7836.0,3735.4625,2069.2402414216554,3549.5,6080.2953125,1948.36113310085,6143.5,5013.1453125,1319.2396445762906,4964.0,5296.84375,1266.3850078415874,5223.5,135.784375,17.275535617148748,138.0,172.43493172149064,143.4848254701654,123.54386208299547,4.6203125,1.5179838280903226,4.0,22.617493327406248,31.25633215590784,0.0,9.147345249280878,12.85434879709956,0.0,4.6203125,1.5179838280903226,4.0,640
single_uav_reference,msd_ag_nsga2,,,,,,,,,,,,,0.0,0.0,0.0,inf,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,8121.15625,116.18280568112264,8107.0,0.0,0.0,0.0,8121.15625,116.18280568112264,8107.0,4314.0125,302.4787180013662,4303.0,5411.53125,93.49110398020498,5402.0,1.0,0.0,1.0,20.907317648972093,1.0131147688511677,20.908853729604743,,,,,,,,,,,,,160
