algorithm,group_name,scenario_type,A_mean,A_std,A_median,AS_mean,AS_std,AS_median,C_mean,C_std,C_median,G_mean,G_std,G_median,HV_mean,HV_std,HV_median,IGD+_mean,IGD+_std,IGD+_median,feasible_rate_mean,feasible_rate_std,feasible_rate_median,ls_boundary_balance_moves_mean,ls_boundary_balance_moves_std,ls_boundary_balance_moves_median,ls_calls_mean,ls_calls_std,ls_calls_median,ls_structure_moves_mean,ls_structure_moves_std,ls_structure_moves_median,ls_time_moves_mean,ls_time_moves_std,ls_time_moves_median,max_AS_mean,max_AS_std,max_AS_median,min_A_mean,min_A_std,min_A_median,min_C_mean,min_C_std,min_C_median,min_G_mean,min_G_std,min_G_median,mutation_bbr_accepts_mean,mutation_bbr_accepts_std,mutation_bbr_accepts_median,mutation_bbr_attempts_mean,mutation_bbr_attempts_std,mutation_bbr_attempts_median,mutation_bbr_imbalance_triggers_mean,mutation_bbr_imbalance_triggers_std,mutation_bbr_imbalance_triggers_median,mutation_bbr_overload_triggers_mean,mutation_bbr_overload_triggers_std,mutation_bbr_overload_triggers_median,mutation_cfm_accepts_mean,mutation_cfm_accepts_std,mutation_cfm_accepts_median,mutation_cfm_attempts_mean,mutation_cfm_attempts_std,mutation_cfm_attempts_median,n_solutions_mean,n_solutions_std,n_solutions_median,runtime_mean_sec,runtime_std_sec,runtime_median_sec,total_sorties_mean,total_sorties_std,total_sorties_median,uav_load_range_mean,uav_load_range_std,uav_load_range_median,uav_load_std_mean,uav_load_std_std,uav_load_std_median,used_uavs_mean,used_uavs_std,used_uavs_median,count
msd_ag_nsga2,uav_3,multi_hotspot_boundary,837424.1883839201,116203.56418437755,829548.1759659706,0.3706776575854557,0.07412848222518602,0.34402145655006344,679.1138407007951,48.24979229915676,673.5323296327265,53.96805090686289,7.4558013439946045,54.80335569285758,0.6396285580240723,0.07593524779165824,0.6638477928795086,0.03222085362947559,0.011507571681506987,0.03044277292207883,1.0,0.0,1.0,4.7625,8.258698066281392,1.0,868.0,0.0,868.0,6421.9125,603.8351843373737,6577.5,3311.125,167.16057960835144,3358.0,0.42786202900937076,0.07159643348482315,0.4107732278931947,456219.2463657249,48713.49553863571,440610.4688826585,616.859483324605,45.261530763378566,614.3839602032197,43.50048829728688,7.593483582857669,41.90823943314779,1404.15,637.2094063178916,1302.5,7803.425,81.96474470770956,7798.5,1474.6625,658.4065412750317,1385.5,292.3875,339.36560277044873,187.0,5002.3,117.94081142674914,4998.5,5209.2625,66.70246317603271,5208.5,136.4,7.5673641381923735,139.0,33.20234212343057,4.662733037201882,32.06453287508339,3.0125,0.11110243021644485,3.0,0.8029434260000002,7.136717276393456,0.0,0.3785111609558393,3.364280787699333,0.0,3.0,0.0,3.0,80
msd_ag_nsga2,uav_3,remote_hotspot,1343777.3838548579,364177.6196961437,1289155.226766569,0.19477651669102097,0.03613734301326476,0.1979849187386569,797.1976279456239,60.30335874995398,804.2891112056373,68.53290987919851,3.61352691746828,68.20647038004496,0.6753557720450739,0.046321628102582176,0.6799154360991957,0.031226285984604328,0.016663264748667025,0.025975539185631807,1.0,0.0,1.0,21.775,27.022664098863384,12.5,868.0,0.0,868.0,5688.35,691.4883241964394,5878.0,2731.525,371.68830944085397,2728.0,0.2993368570527387,0.0347096275509964,0.30453813016617637,557018.2379903598,67204.58427589877,532966.1828802486,673.7027458033666,38.633492885086206,673.3276617630391,56.8815471249638,4.94275798726966,54.657583151602246,2907.0375,661.0921161939158,2821.0,7797.7875,78.25434392894749,7798.0,3298.1125,527.5174640177802,3215.5,1802.15,854.1020445473714,1713.0,4998.55,108.90464866111088,5018.0,5204.375,68.84591037236707,5203.5,135.45,9.181367000615976,138.0,52.74844465105271,8.218648549923564,51.98819256259594,3.8375,0.5109733358992423,4.0,70.174255821375,45.297216513027806,87.30455023000002,32.838106148654816,21.20718517599534,40.6336998943585,3.0,0.0,3.0,80
msd_ag_nsga2,uav_4,multi_hotspot_boundary,844981.5021316588,81253.72759574617,847144.5925459249,0.4165177187456009,0.049847865033913516,0.41291974254302044,843.3727372707547,29.609244229295093,843.3933933575614,52.65770697580624,5.185338539879893,52.56869088524029,0.6016195982962674,0.03970251120943076,0.5976359215158762,0.04237703382474038,0.016921137815757555,0.03919554394155397,1.0,0.0,1.0,1.8125,3.9468143799778574,0.0,868.0,0.0,868.0,6692.8625,277.51683479340494,6809.0,3398.825,88.80748490414533,3422.0,0.4962774255488501,0.056275216149637514,0.4953607999308963,467746.45448612317,29967.219171344594,467422.33846407,749.396978611205,31.557459736213456,748.1643099601041,40.86864105615202,7.117732919146521,41.64954192036559,2405.7625,671.0086669289376,2439.5,7798.275,71.22446472245335,7801.0,2451.9125,695.6461060365033,2475.5,310.7375,216.56527559548877,234.5,4984.0375,138.19464929493472,5004.5,5213.425,61.916026802436214,5217.0,139.125,1.0767427733679016,139.0,37.182260913518256,3.222666240741711,37.032904167077504,4.0,0.0,4.0,12.571022455875,19.68696817295549,0.0,5.443412399166196,8.524707280637585,0.0,4.0,0.0,4.0,80
msd_ag_nsga2,uav_4,remote_hotspot,1503507.4351407762,532615.9026084944,1456272.1933271764,0.16038311115686782,0.04198434711762477,0.15077275562536302,946.3436391232617,89.90835579319932,959.7526795577884,70.27046463368872,3.529938612858338,69.76684349331293,0.6518009292837541,0.06284973713518982,0.6446247003493188,0.029789739813432674,0.011457970216382457,0.02864160703980423,1.0,0.0,1.0,4.6625,8.78627302956151,1.0,868.0,0.0,868.0,6686.6625,238.96620805827337,6752.0,2898.4125,330.10625917081614,2913.5,0.29571965589755,0.042938780424189034,0.2842861547925267,485769.9947471748,39994.662245244,477885.7044781507,790.0044455435208,37.087826270576734,792.2918060656812,56.54734217556381,5.683823917700406,57.04560104606098,4692.9125,615.9762615911022,4892.0,7824.05,76.89081544631972,7815.5,5337.525,654.9458942347834,5522.0,1810.6625,653.9873458972659,1730.5,5031.55,106.2155708924073,5034.0,5204.2875,71.48657107282457,5206.5,139.275,1.3872184399005083,140.0,65.91709928899363,10.596890043073111,64.50609510345384,4.6125,0.6019499563917253,5.0,68.88672900362499,68.55863802210123,86.64155038000003,29.367879544188792,28.767345468117945,37.41037121899791,4.0,0.0,4.0,80
msd_ag_nsga2,uav_5,multi_hotspot_boundary,846085.3173939234,90308.55712885204,827959.5382607414,0.4474134123416832,0.08580523949252702,0.4443919735175913,975.0306567172938,52.1124676111789,978.1469629531798,47.31677293461877,6.635642762719493,46.25168578164438,0.5945980938538249,0.06717279856965522,0.6059723408679178,0.05513912030351158,0.026265802495530035,0.05087930010692289,1.0,0.0,1.0,4.025,8.25374914811445,1.0,868.0,0.0,868.0,6732.4125,259.61782940266255,6823.5,3414.9875,82.84616674143712,3449.5,0.5416393739708985,0.08210994017307313,0.5522834066788274,464176.9194331357,26056.551075556836,465797.8348795875,863.9736825193683,46.47431093378405,858.3692960777844,33.24395667564336,6.269559299920139,30.877546834793385,2970.3125,689.4800141003001,2992.0,7784.05,82.63986628740393,7780.5,3074.675,759.9619525838119,3116.0,238.7625,149.08682401121166,225.5,4952.075,129.36467591657313,4978.0,5199.2875,64.42732218360467,5195.5,139.25,1.0781929326423914,140.0,39.151393210387326,3.352055708675711,39.301436416455545,4.85,0.3570714214271425,5.0,42.600553845250005,40.71977299227234,37.86060636500001,17.327565498610415,16.501163933662326,14.925712343858407,4.85,0.3570714214271425,5.0,80
msd_ag_nsga2,uav_5,remote_hotspot,1302056.9344427239,463074.7226654486,1133764.249354714,0.2130384989940234,0.04879517266252125,0.21026590129451672,1095.1814273438547,77.11385951704099,1078.9342502453107,64.20625234424696,4.925110422319298,64.26458700170551,0.6787574345013285,0.06745831916179486,0.6701514192628722,0.034794087786384785,0.018554431050292548,0.03027910062596407,1.0,0.0,1.0,1.95,4.401420225336363,0.0,868.0,0.0,868.0,6782.3,180.63737154863608,6847.0,3130.7125,184.41727100179637,3135.0,0.30457863177447825,0.03413242914119477,0.303224730841877,489891.40114036464,37314.205521668526,493601.77128473984,965.3818838823563,42.25519170650774,969.8900821398017,51.613339881388285,5.69169302237484,50.696056060936144,4436.7625,907.8768534849592,4544.5,7786.3125,82.96966218895916,7779.5,4950.65,1131.1558590662914,4981.0,1293.6375,774.6000781653394,1078.5,5003.9625,102.48773630903358,5013.0,5194.175,68.29289403005264,5193.0,138.8875,2.4949636770903103,140.0,61.85873686345876,13.585517572290177,57.68503504106775,5.275,0.6118619125260208,5.0,40.581670729,54.31554382884941,9.800632484999994,16.57449078953779,22.402992557481088,3.9202529939999975,4.9625,0.1899835519196333,5.0,80
msd_ag_nsga2,uav_6,multi_hotspot_boundary,875439.1156980044,99408.72582433843,868413.2528430668,0.4726318099869783,0.10542018780615638,0.45737187715846883,1112.0535529108365,59.284452924379714,1114.1472589233722,48.01600800916216,7.206664678867076,48.53882713246186,0.5905745211177316,0.057824788567982566,0.5720615218665539,0.05347557389404538,0.022012538580627926,0.05304376578528719,1.0,0.0,1.0,3.1625,7.30315642376637,0.0,868.0,0.0,868.0,6731.8375,214.11092007123318,6781.5,3401.825,92.75111522240582,3440.5,0.5631714291944251,0.10420865139168163,0.5750335953990514,484287.6182799735,31380.992243416502,484064.00934758777,985.7767338677147,52.82206669121337,990.3232597988467,34.113485623737105,9.054796952080686,34.22981974792141,3636.075,667.1936520793644,3629.5,7796.4125,72.18287431067012,7798.5,3797.6375,768.8031322085974,3738.5,321.775,209.43292333107513,303.5,4845.0625,134.74284245832874,4878.5,5203.125,67.2300853413113,5202.0,139.0125,1.279587335823546,139.0,44.096820096869486,4.101967978074511,43.71945868746843,5.8125,0.3903123748998999,6.0,55.385541721,32.87510367158333,59.91604661000001,22.065750671949377,12.89342105550144,24.133774659993897,5.8125,0.3903123748998999,6.0,80
msd_ag_nsga2,uav_6,remote_hotspot,1297499.7266888407,338845.4466076434,1256609.2466980382,0.19580948625969724,0.0442948660692746,0.19718738538676495,1232.8245801300504,107.77439878542323,1218.8898455950011,69.3005822266927,2.858652359370278,68.9157665565044,0.6231130225115662,0.04352533236811832,0.6224529341243894,0.0440766866490605,0.01768761326087912,0.042514106226205814,1.0,0.0,1.0,3.875,8.429672294935314,0.0,868.0,0.0,868.0,6796.0375,173.88986771445312,6846.0,3128.15,172.09184321169903,3166.5,0.2945267300502578,0.03952928775376556,0.2928124393121079,514288.0292143982,39578.57936245621,517521.15501174016,1044.4486887969776,62.85656551993174,1049.0149469240496,57.30188193221128,5.336825894200135,57.82092891682876,5009.1625,783.0267148020878,5132.0,7791.525,78.77800692452178,7786.5,5386.6125,873.7724602799918,5505.5,1268.7125,615.6238541867509,1065.0,4942.8875,135.08265930070374,4955.5,5188.725,63.126851457996864,5195.5,139.0,2.0976176963403033,140.0,50.209952813529526,10.866328803500465,49.11106024996843,6.3,0.7648529270389177,6.0,65.17811940525,51.0251630303689,81.61790384,23.963709591438317,18.438081997203028,30.372750904725443,5.7625,0.4539754949333719,6.0,80
